"set"	"pval"	"fdr"	"set.annotated"	"set.size"	"category.annotated"	"total.annotated"	"category"	"hits"
"drawn"	2.6e-07	0.0001599	17	311	241	19965	"V$NKX62_Q2"	"SLIT3,ELMO1,EPB41L3,ETV4,DTNA,DLG2,LRFN5,ABCB1,CACNA2D3,ITGA7,CYFIP2,FABP4,SDPR,TSPAN7,RTN4RL1,PIK3R3,ERG"
"drawn"	0.00017	0.03459375	26	311	765	19965	"CTGCAGY_UNKNOWN"	"PPP2R2B,RERG,SPTSSB,SNPH,ELMO1,EPB41L3,ADORA2A,SH2D3C,TSPAN7,ID4,ETV4,SLC22A17,ITGA7,NAP1L2,FHL1,DNM1,DLG2,MAN1C1,KIAA0922,FNDC5,RUSC1-AS1,LRFN5,GARNL3,SDPR,PSD,ERG"
"drawn"	0.00018	0.03459375	25	311	722	19965	"TGCCAAR_V$NF1_Q6"	"SLC9A9,LRRC2,EMCN,TNNI1,GPLD1,NAP1L3,GHR,IL19,SLCO1C1,NCALD,CACNA2D3,DLG2,ADRB2,TSPAN7,IRX5,GNAO1,NUDT10,SLIT3,ETV4,SLC22A17,DSCAML1,ITGA7,SDPR,PALMD,ERG"
"drawn"	0.00027	0.03459375	13	311	264	19965	"V$AFP1_Q6"	"PPM1K,KCNMA1,EPB41L3,DTNA,S1PR1,DSCAML1,LRFN5,CACNA2D3,SDPR,HOXC10,RTN4RL1,PALMD,ERG"
"drawn"	0.00032	0.03459375	9	311	138	19965	"V$HMEF2_Q6"	"S1PR1,KRT222,PPP1R16B,PPP2R2B,CACNA2D3,PRICKLE2,ITGA7,ARHGEF15,KCNN1"
"drawn"	0.00036	0.03459375	12	311	237	19965	"V$SOX9_B1"	"TSPAN2,CD36,TAL1,PPP2R2B,CDON,PPP1R16B,TEK,MYCT1,HOXC10,ADRB2,ERG,GNAO1"
"drawn"	0.00041	0.03459375	12	311	240	19965	"V$POU6F1_01"	"TSPAN2,CELF2,KCNMA1,DTNA,DLG2,CACNA2D3,PRICKLE2,CYFIP2,FABP4,FLJ23867,RTN4RL1,ERG"
"drawn"	0.00045	0.03459375	13	311	278	19965	"V$RFX1_02"	"C14orf132,ELMO1,DTNA,MAPK10,ITPR1,SLC8A3,ANK2,TUB,NCALD,CDKL2,FXYD6,FAM107A,PSD"
"drawn"	0.00056	0.0382666666666667	11	311	214	19965	"V$RSRFC4_Q2"	"TNNI1,ARHGEF15,SLC8A3,S1PR1,KRT222,CACNA2D3,ITGA7,DLG2,PIK3R3,ERG,KCNN1"
"drawn"	0.00069	0.042435	12	311	255	19965	"V$ZIC3_01"	"TAL1,TNNI1,GHR,CYYR1,SLIT3,MAPK10,ITPR1,LRP8,NEGR1,CNTFR,PPP1R16B,GNAO1"
"drawn"	0.00095	0.0531136363636364	20	311	587	19965	"GGATTA_V$PITX2_Q2"	"JAKMIP2,SCN3A,TNNI1,MAP2,ARHGEF15,ELMO1,DNM1,NCALD,CNTFR,RAI2,IRX5,BCL2,ITPR1,CDKL2,PPP1R16B,PRICKLE2,TERT,NANOG,PSD,RTN4RL1"
"drawn"	0.0012	0.0615	11	311	236	19965	"V$NKX61_01"	"JAKMIP2,MAP2,FHL1,DTNA,ITGA7,SDPR,BOC,HOXC10,AOC2,ERG,MAN1C1"
"drawn"	0.0014	0.0615	7	311	106	19965	"V$PAX8_B"	"TSPAN2,TEK,PPP2R2B,RERG,DLG2,PIK3R3,MAN1C1"
"drawn"	0.0014	0.0615	12	311	276	19965	"YKACATTT_UNKNOWN"	"PPP2R2B,SFRP1,ELMO1,ZNF568,LRRN2,ZNF569,MAPK10,ZNF582,CLU,LRFN5,SDPR,STEAP4"
"drawn"	0.0015	0.0615	9	311	172	19965	"GTTRYCATRR_UNKNOWN"	"JAKMIP2,ANK2,FXYD6,RAI2,ZNF287,ELMO1,PSD,DTNA,MAPK10"
