"set"	"pval"	"fdr"	"set.annotated"	"set.size"	"category.annotated"	"total.annotated"	"category"	"hits"
"drawn"	2.7e-05	0.016605	4	15	244	19965	"V$MEF2_Q6_01"	"SCN3A,LRRC2,DLG2,HS6ST2"
"drawn"	0.00037	0.113775	3	15	193	19965	"AAANWWTGC_UNKNOWN"	"CNTFR,DLG2,PIK3R3"
"drawn"	0.00077	0.1429875	3	15	248	19965	"V$ICSBP_Q6"	"DLG2,CNTFR,PIK3R3"
"drawn"	0.00093	0.1429875	3	15	265	19965	"TTAYRTAA_V$E4BP4_01"	"NEGR1,HS6ST2,PIK3R3"
"drawn"	0.0028	0.183421052631579	2	15	106	19965	"V$PAX8_B"	"DLG2,PIK3R3"
"drawn"	0.0033	0.183421052631579	2	15	115	19965	"V$COMP1_01"	"GRAP2,DLG2"
"drawn"	0.0052	0.183421052631579	2	15	145	19965	"RAAGNYNNCTTY_UNKNOWN"	"SCN3A,DLG2"
"drawn"	0.0075	0.183421052631579	2	15	176	19965	"V$E2F_Q2"	"NEGR1,PIK3R3"
"drawn"	0.0076	0.183421052631579	3	15	556	19965	"YCATTAA_UNKNOWN"	"PLIN1,DLG2,HS6ST2"
"drawn"	0.0078	0.183421052631579	2	15	179	19965	"V$CREBP1_01"	"NEGR1,HS6ST2"
"drawn"	0.0085	0.183421052631579	2	15	188	19965	"STTTCRNTTT_V$IRF_Q6"	"GRAP2,PIK3R3"
"drawn"	0.01	0.183421052631579	5	15	1890	19965	"AACTTT_UNKNOWN"	"LRRC2,PLIN1,CNTFR,DLG2,PIK3R3"
"drawn"	0.01	0.183421052631579	5	15	1896	19965	"TGGAAA_V$NFAT_Q4_01"	"SCN3A,LRRC2,HS6ST2,DLG2,PIK3R3"
"drawn"	0.011	0.183421052631579	2	15	214	19965	"V$OCT1_02"	"DLG2,PIK3R3"
"drawn"	0.011	0.183421052631579	2	15	214	19965	"V$RSRFC4_Q2"	"DLG2,PIK3R3"
"drawn"	0.011	0.183421052631579	4	15	1232	19965	"CTTTGA_V$LEF1_Q2"	"SCN3A,GRAP2,CNTFR,DLG2"
"drawn"	0.012	0.183421052631579	2	15	222	19965	"V$FAC1_01"	"DLG2,PIK3R3"
"drawn"	0.012	0.183421052631579	2	15	225	19965	"V$CHX10_01"	"DLG2,PIK3R3"
"drawn"	0.012	0.183421052631579	5	15	1972	19965	"CTTTGT_V$LEF1_Q2"	"SCN3A,LRRC2,HS6ST2,CNTFR,PIK3R3"
"drawn"	0.012	0.183421052631579	2	15	226	19965	"V$CART1_01"	"DNASE1L3,DLG2"
"drawn"	0.012	0.183421052631579	2	15	228	19965	"V$E2F1_Q4_01"	"NEGR1,PIK3R3"
"drawn"	0.013	0.183421052631579	2	15	230	19965	"V$HP1SITEFACTOR_Q6"	"DLG2,CNTFR"
"drawn"	0.013	0.183421052631579	2	15	231	19965	"V$SPZ1_01"	"CNTFR,DLG2"
"drawn"	0.013	0.183421052631579	2	15	235	19965	"V$E2F_Q3_01"	"NEGR1,PIK3R3"
"drawn"	0.013	0.183421052631579	2	15	236	19965	"V$CDPCR3HD_01"	"NEGR1,DLG2"
"drawn"	0.013	0.183421052631579	2	15	236	19965	"V$PIT1_Q6"	"SCN3A,DLG2"
"drawn"	0.013	0.183421052631579	2	15	237	19965	"V$NKX3A_01"	"DLG2,HS6ST2"
"drawn"	0.013	0.183421052631579	2	15	237	19965	"V$E2F_Q4_01"	"NEGR1,PIK3R3"
"drawn"	0.013	0.183421052631579	2	15	238	19965	"V$MEF2_03"	"DLG2,PIK3R3"
"drawn"	0.014	0.183421052631579	2	15	239	19965	"V$SMAD3_Q6"	"CNTFR,PIK3R3"
"drawn"	0.014	0.183421052631579	2	15	241	19965	"V$NKX62_Q2"	"DLG2,PIK3R3"
"drawn"	0.014	0.183421052631579	2	15	242	19965	"V$IRF_Q6"	"DNASE1L3,CNTFR"
