"alteration"	"cis"	"mediated_trans"	"mediated_trans_weighted"	"total_trans"	"frac_mediated_trans"	"frac_mediated_trans_weighted"	"num_path_h.all.v5.0.symbols"	"num_path_c2.cp.v5.0.symbols"	"num_path_c3.tft.v5.0.symbols"	"paths_h.all.v5.0.symbols"	"paths_c2.cp.v5.0.symbols"	"paths_c3.tft.v5.0.symbols"	"rank"
"AmplificationPeak1"	"FOXJ3"	9	3.75752176767076	36	0.25	0.104375604657521	0	0	0	""	""	""	1
"AmplificationPeak1"	"DPH2"	7	3.7574090510098	36	0.194444444444444	0.104372473639161	0	0	0	""	""	""	2
"AmplificationPeak1"	"YBX1"	4	2.51801312744712	36	0.111111111111111	0.0699448090957533	0	0	0	""	""	""	3
"AmplificationPeak1"	"MED8"	4	1.37836676469055	36	0.111111111111111	0.0382879656858487	0	0	0	""	""	""	4
"AmplificationPeak1"	"YRDC"	4	1.37099549992234	36	0.111111111111111	0.0380832083311762	0	0	0	""	""	""	5
"AmplificationPeak1"	"EBNA1BP2"	2	0.751111506771065	36	0.0555555555555556	0.0208642085214185	0	0	0	""	""	""	6
"AmplificationPeak1"	"CTPS1"	2	0.665882105759115	36	0.0555555555555556	0.0184967251599754	0	0	0	""	""	""	7
"AmplificationPeak1"	"TRIT1"	1	0.292398439185928	36	0.0277777777777778	0.00812217886627578	0	0	0	""	""	""	8
"AmplificationPeak1"	"GNL2"	1	0.275830099300293	36	0.0277777777777778	0.0076619472027859	0	0	0	""	""	""	9
"AmplificationPeak1"	"PPIH"	1	0.260066417479039	36	0.0277777777777778	0.00722406715219554	0	0	0	""	""	""	10
"AmplificationPeak1"	"NFYC"	1	0.238430868920432	36	0.0277777777777778	0.00662307969223421	0	0	0	""	""	""	11
"AmplificationPeak1"	"PPCS"	0	0	36	0	0	0	0	0	""	""	""	12
"AmplificationPeak1"	"SF3A3"	0	0	36	0	0	0	0	0	""	""	""	13
"AmplificationPeak1"	"UTP11L"	0	0	36	0	0	0	0	0	""	""	""	14
"AmplificationPeak1"	"ZMPSTE24"	0	0	36	0	0	0	0	0	""	""	""	15
"AmplificationPeak1"	"MTF1"	0	0	36	0	0	0	0	0	""	""	""	16
"AmplificationPeak1"	"MYCBP"	0	0	36	0	0	0	0	0	""	""	""	17
"AmplificationPeak1"	"PABPC4"	0	0	36	0	0	0	0	0	""	""	""	18
"AmplificationPeak1"	"PPIE"	0	0	36	0	0	0	0	0	""	""	""	19
"AmplificationPeak1"	"MYCL"	0	0	36	0	0	0	0	0	""	""	""	20
"AmplificationPeak1"	"IPO13"	0	0	36	0	0	0	0	0	""	""	""	21
"AmplificationPeak1"	"KDM4A"	0	0	36	0	0	0	0	0	""	""	""	22
"AmplificationPeak1"	"SLC6A9"	0	0	36	0	0	0	0	0	""	""	""	23
"AmplificationPeak1"	"AKIRIN1"	0	0	36	0	0	0	0	0	""	""	""	24
"AmplificationPeak1"	"CDCA8"	0	0	36	0	0	0	0	0	""	""	""	25
"AmplificationPeak1"	"ATP6V0B"	0	0	36	0	0	0	0	0	""	""	""	26
"AmplificationPeak1"	"HYI"	0	0	36	0	0	0	0	0	""	""	""	27
"AmplificationPeak1"	"ZFP69B"	0	0	36	0	0	0	0	0	""	""	""	28
"AmplificationPeak1"	"CDC20"	0	0	36	0	0	0	0	0	""	""	""	29
"AmplificationPeak1"	"TMCO2"	0	0	36	0	0	0	0	0	""	""	""	30
"AmplificationPeak1"	"PTPRF"	0	0	36	0	0	0	0	0	""	""	""	31
"AmplificationPeak1"	"SCMH1"	0	0	36	0	0	0	0	0	""	""	""	32
"AmplificationPeak1"	"NDUFS5"	0	0	36	0	0	0	0	0	""	""	""	33
"AmplificationPeak1"	"ELOVL1"	0	0	36	0	0	0	0	0	""	""	""	34
"AmplificationPeak1"	"EXO5"	0	0	36	0	0	0	0	0	""	""	""	35
"AmplificationPeak1"	"CAP1"	0	0	36	0	0	0	0	0	""	""	""	36
"AmplificationPeak1"	"B4GALT2"	0	0	36	0	0	0	0	0	""	""	""	37
"AmplificationPeak1"	"RIMS3"	0	0	36	0	0	0	0	0	""	""	""	38
"AmplificationPeak1"	"ZNF684"	0	0	36	0	0	0	0	0	""	""	""	39
"AmplificationPeak1"	"ZFP69"	0	0	36	0	0	0	0	0	""	""	""	40
"AmplificationPeak1"	"MFSD2A"	0	0	36	0	0	0	0	0	""	""	""	41
"AmplificationPeak1"	"RRAGC"	0	0	36	0	0	0	0	0	""	""	""	42
"AmplificationPeak1"	"ZMYND12"	0	0	36	0	0	0	0	0	""	""	""	43
"AmplificationPeak1"	"HIVEP3"	0	0	36	0	0	0	0	0	""	""	""	44
"AmplificationPeak1"	"COL9A2"	0	0	36	0	0	0	0	0	""	""	""	45
"AmplificationPeak1"	"CLDN19"	0	0	36	0	0	0	0	0	""	""	""	46
"AmplificationPeak2"	"REG4"	0	0	1	0	0	0	0	0	""	""	""	1
"AmplificationPeak2"	"NOTCH2"	0	0	1	0	0	0	0	0	""	""	""	2
"AmplificationPeak2"	"HMGCS2"	0	0	1	0	0	0	0	0	""	""	""	3
"AmplificationPeak2"	"PHGDH"	0	0	1	0	0	0	0	0	""	""	""	4
