"set"	"pval"	"fdr"	"set.annotated"	"set.size"	"category.annotated"	"total.annotated"	"category"	"hits"
"AmplificationPeak1"	0.0032	1	3	46	128	19965	"KEGG_SPLICEOSOME"	"SF3A3,PPIH,PPIE"
"AmplificationPeak1"	0.017	1	2	46	87	19965	"REACTOME_MITOTIC_PROMETAPHASE"	"CDCA8,CDC20"
"AmplificationPeak1"	0.025	1	1	46	11	19965	"REACTOME_VITAMIN_B5_PANTOTHENATE_METABOLISM"	"PPCS"
"AmplificationPeak1"	0.027	1	2	46	111	19965	"REACTOME_MRNA_SPLICING"	"SF3A3,YBX1"
"AmplificationPeak1"	0.032	1	1	46	14	19965	"REACTOME_N_GLYCAN_ANTENNAE_ELONGATION"	"B4GALT2"
"AmplificationPeak1"	0.032	1	1	46	14	19965	"REACTOME_SYNTHESIS_OF_VERY_LONG_CHAIN_FATTY_ACYL_COAS"	"ELOVL1"
"AmplificationPeak1"	0.034	1	1	46	15	19965	"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE"	"B4GALT2"
"AmplificationPeak1"	0.036	1	1	46	16	19965	"KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM"	"HYI"
"AmplificationPeak1"	0.036	1	1	46	16	19965	"KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS"	"PPCS"
"AmplificationPeak1"	0.038	1	2	46	134	19965	"KEGG_CELL_ADHESION_MOLECULES_CAMS"	"CLDN19,PTPRF"
"AmplificationPeak1"	0.038	1	1	46	17	19965	"REACTOME_NA_CL_DEPENDENT_NEUROTRANSMITTER_TRANSPORTERS"	"SLC6A9"
"AmplificationPeak1"	0.039	1	2	46	135	19965	"KEGG_OXIDATIVE_PHOSPHORYLATION"	"ATP6V0B,NDUFS5"
"AmplificationPeak1"	0.041	1	1	46	18	19965	"REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS"	"ELOVL1"
"AmplificationPeak1"	0.041	1	1	46	18	19965	"REACTOME_N_GLYCAN_ANTENNAE_ELONGATION_IN_THE_MEDIAL_TRANS_GOLGI"	"B4GALT2"
"AmplificationPeak1"	0.041	1	2	46	140	19965	"REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA"	"SF3A3,YBX1"
"AmplificationPeak1"	0.05	1	1	46	22	19965	"REACTOME_CONVERSION_FROM_APC_C_CDC20_TO_APC_C_CDH1_IN_LATE_ANAPHASE"	"CDC20"
"AmplificationPeak1"	0.052	1	1	46	23	19965	"REACTOME_INSULIN_RECEPTOR_RECYCLING"	"ATP6V0B"
"AmplificationPeak1"	0.053	1	2	46	161	19965	"REACTOME_MRNA_PROCESSING"	"SF3A3,YBX1"
"AmplificationPeak1"	0.054	1	1	46	24	19965	"REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS"	"CDC20"
"AmplificationPeak1"	0.056	1	1	46	25	19965	"REACTOME_TRANSFERRIN_ENDOCYTOSIS_AND_RECYCLING"	"ATP6V0B"
"AmplificationPeak1"	0.057	1	2	46	168	19965	"REACTOME_FATTY_ACID_TRIACYLGLYCEROL_AND_KETONE_BODY_METABOLISM"	"MED8,ELOVL1"
"AmplificationPeak1"	0.058	1	1	46	26	19965	"KEGG_GALACTOSE_METABOLISM"	"B4GALT2"
"AmplificationPeak1"	0.058	1	1	46	26	19965	"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES"	"B4GALT2"
"AmplificationPeak1"	0.058	1	1	46	26	19965	"REACTOME_KERATAN_SULFATE_BIOSYNTHESIS"	"B4GALT2"
"AmplificationPeak1"	0.058	1	1	46	26	19965	"REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B"	"CDC20"
"AmplificationPeak1"	0.06	1	2	46	172	19965	"REACTOME_MITOTIC_M_M_G1_PHASES"	"CDCA8,CDC20"
"AmplificationPeak1"	0.06	1	1	46	27	19965	"REACTOME_AMINE_COMPOUND_SLC_TRANSPORTERS"	"SLC6A9"
"AmplificationPeak1"	0.063	1	1	46	28	19965	"REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A"	"CDC20"
"AmplificationPeak1"	0.063	1	3	46	396	19965	"REACTOME_DEVELOPMENTAL_BIOLOGY"	"CAP1,MED8,COL9A2"
"AmplificationPeak1"	0.065	1	1	46	29	19965	"REACTOME_TIGHT_JUNCTION_INTERACTIONS"	"CLDN19"
"AmplificationPeak1"	0.067	1	1	46	30	19965	"REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM"	"B4GALT2"
"AmplificationPeak1"	0.067	1	1	46	30	19965	"REACTOME_SIGNALING_BY_ROBO_RECEPTOR"	"CAP1"
"AmplificationPeak1"	0.072	1	2	46	192	19965	"REACTOME_DNA_REPLICATION"	"CDCA8,CDC20"
"AmplificationPeak1"	0.073	1	1	46	33	19965	"REACTOME_LATENT_INFECTION_OF_HOMO_SAPIENS_WITH_MYCOBACTERIUM_TUBERCULOSIS"	"ATP6V0B"
"AmplificationPeak1"	0.073	1	1	46	33	19965	"REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION"	"B4GALT2"
"AmplificationPeak1"	0.075	1	1	46	34	19965	"BIOCARTA_MPR_PATHWAY"	"CAP1"
"AmplificationPeak1"	0.08	1	1	46	36	19965	"REACTOME_IRON_UPTAKE_AND_TRANSPORT"	"ATP6V0B"
"AmplificationPeak1"	0.084	1	1	46	38	19965	"REACTOME_TRIGLYCERIDE_BIOSYNTHESIS"	"ELOVL1"
"AmplificationPeak1"	0.086	1	1	46	39	19965	"PID_AURORA_B_PATHWAY"	"CDCA8"
"AmplificationPeak1"	0.086	1	1	46	39	19965	"REACTOME_NCAM1_INTERACTIONS"	"COL9A2"
"AmplificationPeak1"	0.097	1	1	46	44	19965	"NABA_COLLAGENS"	"COL9A2"
"AmplificationPeak1"	0.1	1	1	46	46	19965	"KEGG_N_GLYCAN_BIOSYNTHESIS"	"B4GALT2"
"AmplificationPeak1"	0.1	1	1	46	46	19965	"PID_PLK1_PATHWAY"	"CDC20"
"AmplificationPeak1"	0.1	1	1	46	46	19965	"PID_SYNDECAN_1_PATHWAY"	"COL9A2"
"AmplificationPeak1"	0.11	1	1	46	51	19965	"SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES"	"CAP1"
"AmplificationPeak1"	0.11	1	1	46	51	19965	"REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS"	"PPCS"
"AmplificationPeak1"	0.11	1	1	46	51	19965	"REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1"	"CDC20"
"AmplificationPeak1"	0.11	1	1	46	52	19965	"PID_PTP1B_PATHWAY"	"YBX1"
"AmplificationPeak1"	0.11	1	2	46	251	19965	"REACTOME_AXON_GUIDANCE"	"CAP1,COL9A2"
"AmplificationPeak1"	0.12	1	1	46	56	19965	"KEGG_VIBRIO_CHOLERAE_INFECTION"	"ATP6V0B"
"AmplificationPeak1"	0.12	1	1	46	56	19965	"REACTOME_CELL_CELL_JUNCTION_ORGANIZATION"	"CLDN19"
"AmplificationPeak1"	0.13	1	1	46	58	19965	"REACTOME_COLLAGEN_FORMATION"	"COL9A2"
"AmplificationPeak1"	0.13	1	1	46	59	19965	"PID_NOTCH_PATHWAY"	"MYCBP"
"AmplificationPeak1"	0.14	1	1	46	63	19965	"PID_MYC_REPRESS_PATHWAY"	"NFYC"
"AmplificationPeak1"	0.14	1	1	46	64	19965	"REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH"	"COL9A2"
"AmplificationPeak1"	0.15	1	1	46	68	19965	"KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION"	"ATP6V0B"
"AmplificationPeak1"	0.15	1	1	46	69	19965	"PID_MTOR_4PATHWAY"	"RRAGC"
"AmplificationPeak1"	0.15	1	1	46	72	19965	"REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION"	"MED8"
"AmplificationPeak1"	0.15	1	1	46	72	19965	"REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1"	"CDC20"
"AmplificationPeak1"	0.16	1	1	46	73	19965	"REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS"	"CDC20"
"AmplificationPeak1"	0.16	1	1	46	75	19965	"KEGG_ADHERENS_JUNCTION"	"PTPRF"
"AmplificationPeak1"	0.16	1	1	46	75	19965	"PID_AVB3_INTEGRIN_PATHWAY"	"COL9A2"
"AmplificationPeak1"	0.16	1	1	46	78	19965	"REACTOME_CELL_JUNCTION_ORGANIZATION"	"CLDN19"
"AmplificationPeak1"	0.17	1	1	46	79	19965	"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT"	"NDUFS5"
"AmplificationPeak1"	0.17	1	1	46	81	19965	"REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION"	"B4GALT2"
"AmplificationPeak1"	0.17	1	2	46	325	19965	"REACTOME_CELL_CYCLE_MITOTIC"	"CDCA8,CDC20"
"AmplificationPeak1"	0.18	1	1	46	85	19965	"REACTOME_REGULATION_OF_MITOTIC_CELL_CYCLE"	"CDC20"
"AmplificationPeak1"	0.18	1	1	46	87	19965	"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION"	"COL9A2"
"AmplificationPeak1"	0.19	1	1	46	89	19965	"KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION"	"NFYC"
"AmplificationPeak1"	0.19	1	1	46	89	19965	"REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2_"	"CAP1"
"AmplificationPeak1"	0.19	1	1	46	89	19965	"REACTOME_TRANSPORT_OF_GLUCOSE_AND_OTHER_SUGARS_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS"	"SLC6A9"
"AmplificationPeak1"	0.2	1	1	46	98	19965	"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS_"	"NDUFS5"
"AmplificationPeak1"	0.21	1	1	46	104	19965	"REACTOME_PPARA_ACTIVATES_GENE_EXPRESSION"	"MED8"
"AmplificationPeak1"	0.22	1	1	46	108	19965	"REACTOME_SIGNALING_BY_INSULIN_RECEPTOR"	"ATP6V0B"
"AmplificationPeak1"	0.23	1	1	46	111	19965	"REACTOME_GLYCOSAMINOGLYCAN_METABOLISM"	"B4GALT2"
"AmplificationPeak1"	0.23	1	1	46	114	19965	"KEGG_OOCYTE_MEIOSIS"	"CDC20"
"AmplificationPeak1"	0.24	1	1	46	118	19965	"KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION"	"CLDN19"
"AmplificationPeak1"	0.24	1	1	46	120	19965	"REACTOME_CELL_CELL_COMMUNICATION"	"CLDN19"
