"set"	"pval"	"fdr"	"set.annotated"	"set.size"	"category.annotated"	"total.annotated"	"category"	"hits"
"trans.dn"	9e-04	0.43225	4	281	31	19965	"REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING"	"GNG7,GRIK5,GNG2,NCALD"
"trans.dn"	0.0013	0.43225	4	281	34	19965	"REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT"	"ABCC9,ABCA8,ABCA3,ABCB1"
"trans.dn"	0.0016	0.43225	3	281	17	19965	"KEGG_RENIN_ANGIOTENSIN_SYSTEM"	"CMA1,CTSG,AGTR1"
"trans.dn"	0.0017	0.43225	11	281	272	19965	"KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION"	"PTGFR,ADRB2,TACR1,AGTR1,ADORA2A,GHR,S1PR1,CTSG,GRIK5,CHRNA3,P2RY14"
"trans.dn"	0.0025	0.43225	5	281	67	19965	"KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY"	"CD36,ACSL6,MAPK10,ACACB,PCK1"
"trans.dn"	0.0026	0.43225	6	281	98	19965	"REACTOME_POTASSIUM_CHANNELS"	"ABCC9,GNG7,KCNB1,KCNH1,KCNN1,GNG2"
"trans.dn"	0.0029	0.43225	5	281	69	19965	"KEGG_PPAR_SIGNALING_PATHWAY"	"CD36,ACSL6,FABP4,PCK1,PLIN1"
"trans.dn"	0.0031	0.43225	4	281	43	19965	"PID_CXCR3_PATHWAY"	"GNAO1,DNM1,PIK3R3,GNG2"
"trans.dn"	0.0031	0.43225	4	281	43	19965	"REACTOME_REGULATION_OF_INSULIN_SECRETION_BY_GLUCAGON_LIKE_PEPTIDE1"	"GNG7,KCNB1,GNG2,PRKAR2B"
"trans.dn"	0.0034	0.43225	4	281	44	19965	"KEGG_ABC_TRANSPORTERS"	"ABCA3,ABCC9,ABCB1,ABCA8"
"trans.dn"	0.0038	0.43225	8	281	178	19965	"KEGG_CALCIUM_SIGNALING_PATHWAY"	"PTGFR,ADRB2,TACR1,SLC8A3,AGTR1,ADORA2A,ITPR1,CACNA1I"
"trans.dn"	0.0039	0.43225	5	281	74	19965	"REACTOME_G_ALPHA1213_SIGNALLING_EVENTS"	"GNG7,GNG2,PREX1,TIAM1,PIK3R3"
"trans.dn"	0.005	0.472888888888889	4	281	49	19965	"PID_ARF6_TRAFFICKING_PATHWAY"	"AGTR1,ADRB2,ITGA7,BIN1"
"trans.dn"	0.005	0.472888888888889	3	281	25	19965	"REACTOME_INHIBITION_OF_INSULIN_SECRETION_BY_ADRENALINE_NORADRENALINE"	"GNAO1,GNG7,GNG2"
"trans.dn"	0.0056	0.472888888888889	8	281	190	19965	"KEGG_CHEMOKINE_SIGNALING_PATHWAY"	"CCL14,TIAM1,GNG7,GNG2,PREX1,RASGRP2,PIK3R3,ELMO1"
"trans.dn"	0.0063	0.472888888888889	3	281	27	19965	"ST_GRANULE_CELL_SURVIVAL_PATHWAY"	"MAPK8IP2,MAPK8IP1,MAPK10"
"trans.dn"	0.0063	0.472888888888889	3	281	27	19965	"REACTOME_G_PROTEIN_ACTIVATION"	"GNAO1,GNG7,GNG2"
"trans.dn"	0.0064	0.472888888888889	10	281	279	19965	"REACTOME_NEURONAL_SYSTEM"	"ABCC9,CHRNA3,GNG7,GRIK5,KCNB1,KCNH1,KCNN1,GNG2,CACNA2D3,NCALD"
"trans.dn"	0.0071	0.4921	6	281	120	19965	"REACTOME_INTEGRATION_OF_ENERGY_METABOLISM"	"GNAO1,GNG7,ACACB,KCNB1,GNG2,PRKAR2B"
