"set"	"pval"	"fdr"	"set.annotated"	"set.size"	"category.annotated"	"total.annotated"	"category"	"hits"
"AmplificationPeak3"	0.00075	0.701272727272727	4	268	31	19965	"REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING"	"GNG7,GRIK5,GNG2,NCALD"
"AmplificationPeak3"	0.0011	0.701272727272727	4	268	34	19965	"REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT"	"ABCC9,ABCA8,ABCA3,ABCB1"
"AmplificationPeak3"	0.0012	0.701272727272727	11	268	272	19965	"KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION"	"PTGFR,ADRB2,TACR1,AGTR1,ADORA2A,GHR,S1PR1,CTSG,GRIK5,CHRNA3,P2RY14"
"AmplificationPeak3"	0.0014	0.701272727272727	3	268	17	19965	"KEGG_RENIN_ANGIOTENSIN_SYSTEM"	"CMA1,CTSG,AGTR1"
"AmplificationPeak3"	0.0021	0.701272727272727	5	268	67	19965	"KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY"	"CD36,ACSL6,MAPK10,ACACB,PCK1"
"AmplificationPeak3"	0.0021	0.701272727272727	6	268	98	19965	"REACTOME_POTASSIUM_CHANNELS"	"ABCC9,GNG7,KCNB1,KCNH1,KCNN1,GNG2"
"AmplificationPeak3"	0.0023	0.701272727272727	5	268	69	19965	"KEGG_PPAR_SIGNALING_PATHWAY"	"CD36,ACSL6,FABP4,PCK1,PLIN1"
"AmplificationPeak3"	0.0026	0.701272727272727	4	268	43	19965	"PID_CXCR3_PATHWAY"	"GNAO1,DNM1,PIK3R3,GNG2"
"AmplificationPeak3"	0.0026	0.701272727272727	4	268	43	19965	"REACTOME_REGULATION_OF_INSULIN_SECRETION_BY_GLUCAGON_LIKE_PEPTIDE1"	"GNG7,KCNB1,GNG2,PRKAR2B"
"AmplificationPeak3"	0.0028	0.701272727272727	4	268	44	19965	"KEGG_ABC_TRANSPORTERS"	"ABCA3,ABCC9,ABCB1,ABCA8"
