"set"	"pval"	"fdr"	"set.annotated"	"set.size"	"category.annotated"	"total.annotated"	"category"	"hits"
"AmplificationPeak1"	0.014	1	1	24	12	19965	"BIOCARTA_AKAP95_PATHWAY"	"NCAPD2"
"AmplificationPeak1"	0.046	1	1	24	39	19965	"PID_AURORA_B_PATHWAY"	"NCAPD2"
"AmplificationPeak1"	0.071	1	1	24	61	19965	"PID_AR_PATHWAY"	"FKBP4"
"AmplificationPeak1"	0.078	1	1	24	67	19965	"KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY"	"ADIPOR2"
"AmplificationPeak1"	0.091	1	1	24	79	19965	"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT"	"NDUFA9"
"AmplificationPeak1"	0.094	1	1	24	82	19965	"PID_REG_GR_PATHWAY"	"FKBP4"
"AmplificationPeak1"	0.1	1	1	24	87	19965	"REACTOME_MITOTIC_PROMETAPHASE"	"DSN1"
"AmplificationPeak1"	0.11	1	1	24	98	19965	"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS_"	"NDUFA9"
"AmplificationPeak1"	0.15	1	1	24	133	19965	"KEGG_PARKINSONS_DISEASE"	"NDUFA9"
"AmplificationPeak1"	0.15	1	1	24	135	19965	"KEGG_OXIDATIVE_PHOSPHORYLATION"	"NDUFA9"
"AmplificationPeak1"	0.16	1	1	24	141	19965	"REACTOME_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT"	"NDUFA9"
"AmplificationPeak1"	0.18	1	1	24	169	19965	"KEGG_ALZHEIMERS_DISEASE"	"NDUFA9"
"AmplificationPeak1"	0.19	1	1	24	172	19965	"REACTOME_MITOTIC_M_M_G1_PHASES"	"DSN1"
"AmplificationPeak1"	0.2	1	1	24	185	19965	"KEGG_HUNTINGTONS_DISEASE"	"NDUFA9"
"AmplificationPeak1"	0.21	1	1	24	192	19965	"REACTOME_DNA_REPLICATION"	"DSN1"
"AmplificationPeak1"	0.33	1	1	24	325	19965	"REACTOME_CELL_CYCLE_MITOTIC"	"DSN1"
"AmplificationPeak1"	0.4	1	1	24	421	19965	"REACTOME_CELL_CYCLE"	"DSN1"
"AmplificationPeak1"	1	1	0	24	62	19965	"KEGG_GLYCOLYSIS_GLUCONEOGENESIS"	""
"AmplificationPeak1"	1	1	0	24	32	19965	"KEGG_CITRATE_CYCLE_TCA_CYCLE"	""
"AmplificationPeak1"	1	1	0	24	27	19965	"KEGG_PENTOSE_PHOSPHATE_PATHWAY"	""
"AmplificationPeak1"	1	1	0	24	28	19965	"KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS"	""
"AmplificationPeak1"	1	1	0	24	34	19965	"KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM"	""
"AmplificationPeak1"	1	1	0	24	26	19965	"KEGG_GALACTOSE_METABOLISM"	""
"AmplificationPeak1"	1	1	0	24	25	19965	"KEGG_ASCORBATE_AND_ALDARATE_METABOLISM"	""
"AmplificationPeak1"	1	1	0	24	42	19965	"KEGG_FATTY_ACID_METABOLISM"	""
"AmplificationPeak1"	1	1	0	24	17	19965	"KEGG_STEROID_BIOSYNTHESIS"	""
"AmplificationPeak1"	1	1	0	24	16	19965	"KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS"	""
"AmplificationPeak1"	1	1	0	24	55	19965	"KEGG_STEROID_HORMONE_BIOSYNTHESIS"	""
"AmplificationPeak1"	1	1	0	24	159	19965	"KEGG_PURINE_METABOLISM"	""
"AmplificationPeak1"	1	1	0	24	98	19965	"KEGG_PYRIMIDINE_METABOLISM"	""
"AmplificationPeak1"	1	1	0	24	32	19965	"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM"	""
"AmplificationPeak1"	1	1	0	24	31	19965	"KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM"	""
"AmplificationPeak1"	1	1	0	24	34	19965	"KEGG_CYSTEINE_AND_METHIONINE_METABOLISM"	""
"AmplificationPeak1"	1	1	0	24	44	19965	"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION"	""
"AmplificationPeak1"	1	1	0	24	11	19965	"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS"	""
"AmplificationPeak1"	1	1	0	24	44	19965	"KEGG_LYSINE_DEGRADATION"	""
"AmplificationPeak1"	1	1	0	24	54	19965	"KEGG_ARGININE_AND_PROLINE_METABOLISM"	""
"AmplificationPeak1"	1	1	0	24	29	19965	"KEGG_HISTIDINE_METABOLISM"	""
"AmplificationPeak1"	1	1	0	24	42	19965	"KEGG_TYROSINE_METABOLISM"	""
"AmplificationPeak1"	1	1	0	24	18	19965	"KEGG_PHENYLALANINE_METABOLISM"	""
"AmplificationPeak1"	1	1	0	24	40	19965	"KEGG_TRYPTOPHAN_METABOLISM"	""
"AmplificationPeak1"	1	1	0	24	22	19965	"KEGG_BETA_ALANINE_METABOLISM"	""
"AmplificationPeak1"	1	1	0	24	10	19965	"KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM"	""
"AmplificationPeak1"	1	1	0	24	26	19965	"KEGG_SELENOAMINO_ACID_METABOLISM"	""
"AmplificationPeak1"	1	1	0	24	50	19965	"KEGG_GLUTATHIONE_METABOLISM"	""
"AmplificationPeak1"	1	1	0	24	52	19965	"KEGG_STARCH_AND_SUCROSE_METABOLISM"	""
"AmplificationPeak1"	1	1	0	24	46	19965	"KEGG_N_GLYCAN_BIOSYNTHESIS"	""
"AmplificationPeak1"	1	1	0	24	16	19965	"KEGG_OTHER_GLYCAN_DEGRADATION"	""
"AmplificationPeak1"	1	1	0	24	30	19965	"KEGG_O_GLYCAN_BIOSYNTHESIS"	""
