"set"	"pval"	"fdr"	"set.annotated"	"set.size"	"category.annotated"	"total.annotated"	"category"	"hits"
"AmplificationPeak3"	3e-11	5.535e-08	27	510	226	19965	"V$TEF1_Q6"	"ATP1B1,DENND1B,PIAS3,CGN,LAMC2,MTX1,ZBTB37,RNF2,POGZ,OTUD7B,POGK,CDC42SE1,CA14,ETV3,LMNA,DLG2,PAQR6,HDGF,FXYD6,MUC1,IER5,DEDD,SHC1,PRRC2C,CKS1B,RASGRP2,NOTCH2NL"
"AmplificationPeak1"	1.3e-10	9.84e-08	11	58	251	19965	"V$USF2_Q6"	"PTPRF,PABPC4,ATP6V0B,YBX1,ZMYND12,PPCS,IPO13,EBNA1BP2,RRAGC,B4GALT2,FOXJ3"
"AmplificationPeak3"	1.6e-10	9.84e-08	24	510	193	19965	"V$MAZ_Q6"	"EFNA1,PIAS3,RNF2,STX6,ARHGEF2,POGZ,FAM189B,OTUD7B,CA14,ZNF687,GABPB2,LMNA,APBB1,ENSA,SETDB1,FDPS,RPRD2,PPOX,CRTC2,SHC1,KRTCAP2,CKS1B,SMG7,TPM3"
"AmplificationPeak1"	3e-09	1.2915e-06	9	58	185	19965	"V$MYC_Q2"	"EBNA1BP2,PTPRF,PABPC4,ATP6V0B,RRAGC,YBX1,B4GALT2,FOXJ3,IPO13"
"AmplificationPeak3"	3.5e-09	1.2915e-06	24	510	224	19965	"V$SRY_01"	"EFNA1,SELENBP1,METTL18,RBM8A,F11R,LAMC2,EFNA4,RALGPS2,TDRD5,MTX1,TAL1,ZBTB37,USF1,OTUD7B,CA14,DLG2,BEND5,S1PR1,NOS1AP,DEDD,CRTC2,TSEN15,PALMD,CHTOP"
"AmplificationPeak3"	3e-07	9.225e-05	15	510	117	19965	"V$ETF_Q6"	"RUSC1,EFNA3,TSPAN2,SCYL3,DCAF8,RPRD2,RNF2,DAP3,CRTC2,UCHL5,USP21,CDC73,ZNF687,LRRN2,MAN1C1"
"AmplificationPeak3"	6.4e-07	0.000168685714285714	18	510	176	19965	"V$E2F_Q2"	"ATP1B1,MPZL1,EFNA3,NEGR1,APH1A,LAMTOR2,TAL1,USF1,RNF2,DAP3,TPR,POGZ,ANP32E,CDC73,TPM3,PIK3R3,SNX27,MAN1C1"
"AmplificationPeak1"	7.6e-07	0.000175275	7	58	176	19965	"V$E2F_Q2"	"PABPC4,RRAGC,B4GALT2,SCMH1,CAP1,MED8,MYCBP"
"AmplificationPeak3"	2.3e-06	0.0004715	21	510	252	19965	"V$STAT1_02"	"USF1,SYNE1,UFC1,ISG20L2,STX6,POGZ,ARHGEF15,UHMK1,SF3B4,GABPB2,ZNF568,ZNF569,SDHC,TMCO1,ZNF582,PIGC,SHC1,CKS1B,SCNM1,ERG,RRNAD1"
"AmplificationPeak3"	6e-06	0.001107	19	510	226	19965	"V$LEF1_Q2"	"S100A3,TSPAN2,CGN,EFNA4,RALGPS2,PVRL4,UAP1,PLA2G4A,DLG2,GOLPH3L,SDHC,IQGAP3,RET,SCAMP3,TARS2,UBAP2L,SMG7,SCNM1,EDEM3"
"AmplificationPeak3"	1.5e-05	0.00230625	90	510	2274	19965	"GGGAGGRR_V$MAZ_Q6"	"ZBTB37,USF1,SPTSSB,MPZL1,S1PR1,ADORA2A,SH2D3C,TSPAN7,TSPAN2,PIAS3,NR1I3,ZBTB7B,UHMK1,LRRN2,TUB,IGSF8,PPOX,SHC1,CKS1B,PPAP2A,JAKMIP2,FAM189B,OTUD7B,PLIN1,CNTFR,FDPS,IVNS1ABP,GNAO1,S100A4,EFNA1,THEM5,EFNA4,CYYR1,SLIT3,ADAM15,CA14,MAPK10,ITPR1,CDON,ENSA,CRTC2,PSD,F5,MTX1,PPP2R2B,CLIP3,PMVK,SNPH,LMNA,ARPC5,IER5,SMG7,ID4,RAB13,RNF2,KCNJ10,ZDHHC15,IQUB,APBB1,SLC22A17,KANK3,FXYD6,PRPH,KRTCAP2,MAPK8IP2,SYNE1,NAP1L2,HIST2H2AB,HIST2H2BE,ZNF687,RASA4,PDE2A,PRKAR2B,SMG5,NDUFS2,DLG2,UCHL5,CD300LG,TMEM79,ITGA10,S100A16,SLAMF9,S100A14,KCNMA1,POGK,PPP1R16B,LRFN5,TPM3,RASGRP2,ERG"
