"set"	"pval"	"fdr"	"set.annotated"	"set.size"	"category.annotated"	"total.annotated"	"category"	"hits"
"AmplificationPeak3"	1.8e-07	0.0002214	16	268	241	19965	"V$NKX62_Q2"	"SLIT3,ELMO1,EPB41L3,DTNA,DLG2,LRFN5,ABCB1,CACNA2D3,ITGA7,CYFIP2,FABP4,SDPR,TSPAN7,RTN4RL1,PIK3R3,ERG"
"AmplificationPeak3"	1e-04	0.033825	13	268	278	19965	"V$RFX1_02"	"C14orf132,ELMO1,DTNA,MAPK10,ITPR1,SLC8A3,ANK2,TUB,NCALD,CDKL2,FXYD6,FAM107A,PSD"
"AmplificationPeak3"	0.00011	0.033825	9	268	138	19965	"V$HMEF2_Q6"	"S1PR1,KRT222,PPP1R16B,PPP2R2B,CACNA2D3,PRICKLE2,ITGA7,ARHGEF15,KCNN1"
"AmplificationPeak3"	0.00011	0.033825	24	268	765	19965	"CTGCAGY_UNKNOWN"	"PPP2R2B,RERG,SPTSSB,SNPH,ELMO1,EPB41L3,ADORA2A,SH2D3C,TSPAN7,ID4,SLC22A17,ITGA7,NAP1L2,FHL1,DNM1,DLG2,MAN1C1,KIAA0922,FNDC5,LRFN5,GARNL3,SDPR,PSD,ERG"
"AmplificationPeak3"	0.00025	0.0615	12	268	264	19965	"V$AFP1_Q6"	"PPM1K,KCNMA1,EPB41L3,DTNA,S1PR1,DSCAML1,LRFN5,CACNA2D3,SDPR,RTN4RL1,PALMD,ERG"
"AmplificationPeak3"	0.00037	0.064575	12	268	276	19965	"YKACATTT_UNKNOWN"	"PPP2R2B,SFRP1,ELMO1,ZNF568,LRRN2,ZNF569,MAPK10,ZNF582,CLU,LRFN5,SDPR,STEAP4"
"AmplificationPeak3"	0.00038	0.064575	11	268	237	19965	"V$SOX9_B1"	"TSPAN2,CD36,TAL1,PPP2R2B,CDON,PPP1R16B,TEK,MYCT1,ADRB2,ERG,GNAO1"
"AmplificationPeak3"	0.00042	0.064575	11	268	240	19965	"V$POU6F1_01"	"TSPAN2,CELF2,KCNMA1,DTNA,DLG2,CACNA2D3,PRICKLE2,CYFIP2,FABP4,RTN4RL1,ERG"
"AmplificationPeak3"	0.00054	0.07011	9	268	172	19965	"GTTRYCATRR_UNKNOWN"	"JAKMIP2,ANK2,FXYD6,RAI2,ZNF287,ELMO1,PSD,DTNA,MAPK10"
"AmplificationPeak3"	0.00057	0.07011	7	268	106	19965	"V$PAX8_B"	"TSPAN2,TEK,PPP2R2B,RERG,DLG2,PIK3R3,MAN1C1"
"AmplificationPeak3"	0.00066	0.0738	10	268	214	19965	"V$RSRFC4_Q2"	"ARHGEF15,SLC8A3,S1PR1,KRT222,CACNA2D3,ITGA7,DLG2,PIK3R3,ERG,KCNN1"
"AmplificationPeak3"	0.00074	0.0738	8	268	144	19965	"V$MEF2_01"	"S1PR1,KRT222,GRAP2,ABCA8,CACNA2D3,ITGA7,ARHGEF15,KCNN1"
"AmplificationPeak3"	0.00078	0.0738	21	268	722	19965	"TGCCAAR_V$NF1_Q6"	"SLC9A9,LRRC2,EMCN,GPLD1,NAP1L3,GHR,SLCO1C1,NCALD,CACNA2D3,DLG2,ADRB2,TSPAN7,GNAO1,NUDT10,SLIT3,SLC22A17,DSCAML1,ITGA7,SDPR,PALMD,ERG"
"AmplificationPeak3"	0.0014	0.123	10	268	236	19965	"V$NKX61_01"	"JAKMIP2,MAP2,FHL1,DTNA,ITGA7,SDPR,BOC,AOC2,ERG,MAN1C1"
"AmplificationPeak3"	0.0017	0.1394	10	268	242	19965	"V$RORA1_01"	"JAKMIP2,SYNE1,RASA4,DTNA,SLC8A3,PACSIN1,MATK,CNTFR,AOC2,TSPAN7"
"AmplificationPeak3"	0.0024	0.173647058823529	10	268	255	19965	"V$ZIC3_01"	"TAL1,GHR,CYYR1,SLIT3,MAPK10,ITPR1,NEGR1,CNTFR,PPP1R16B,GNAO1"
"AmplificationPeak3"	0.0024	0.173647058823529	10	268	255	19965	"V$FOXO4_02"	"SCN3A,GRAP2,NAP1L5,DTNA,PDK4,MAPK10,TIAM1,TEK,ERG,GNAO1"
"AmplificationPeak3"	0.0032	0.218666666666667	21	268	810	19965	"TAATTA_V$CHX10_01"	"PPP2R2B,CELF2,ELMO1,EPB41L3,TSPAN7,CD36,TAL1,CYFIP2,PPAP2A,PIK3R3,KRT222,CDO1,CACNA2D3,GNAO1,SFRP1,KCNMA1,CYYR1,DSCAML1,LRFN5,RTN4RL1,ERG"
"AmplificationPeak3"	0.0035	0.226578947368421	9	268	225	19965	"V$CHX10_01"	"SFRP1,KCNMA1,LRFN5,CYFIP2,DLG2,RTN4RL1,PIK3R3,PPAP2A,GNAO1"
"AmplificationPeak3"	0.0037	0.22755	12	268	361	19965	"CTAWWWATA_V$RSRFC4_Q2"	"CD36,ARHGEF15,SLC8A3,S1PR1,KRT222,CACNA2D3,ITGA7,DLG2,AOC2,RASGRP2,PIK3R3,KCNN1"
"AmplificationPeak3"	0.004	0.234285714285714	9	268	230	19965	"V$HP1SITEFACTOR_Q6"	"KIAA0922,DLG2,MAPK10,SAMD3,NCALD,CNTFR,LRFN5,CACNA2D3,CYFIP2"
"AmplificationPeak3"	0.0057	0.291555555555556	8	268	200	19965	"V$CEBP_C"	"JAKMIP2,GPLD1,KCNMA1,CACNA2D3,BOC,DLG2,ADRB2,TSPAN7"
"AmplificationPeak3"	0.0059	0.291555555555556	9	268	244	19965	"V$MEF2_Q6_01"	"SCN3A,LRRC2,SLC8A3,PPP1R16B,CACNA2D3,ITGA7,DLG2,HS6ST2,KCNN1"
"AmplificationPeak3"	0.006	0.291555555555556	16	268	587	19965	"GGATTA_V$PITX2_Q2"	"JAKMIP2,SCN3A,MAP2,ARHGEF15,ELMO1,DNM1,NCALD,CNTFR,RAI2,BCL2,ITPR1,CDKL2,PPP1R16B,PRICKLE2,PSD,RTN4RL1"
"AmplificationPeak3"	0.006	0.291555555555556	9	268	245	19965	"V$RSRFC4_01"	"ARHGEF15,ELMO1,SLC8A3,S1PR1,CACNA2D3,ITGA7,DLG2,PIK3R3,KCNN1"
"AmplificationPeak3"	0.0063	0.291555555555556	9	268	247	19965	"V$STAT5B_01"	"TAL1,MAPK10,APBB1,ZNF582,PRKAR2B,NCALD,CLU,PSD,ERG"
"AmplificationPeak3"	0.0064	0.291555555555556	7	268	162	19965	"V$OCT1_07"	"CD36,ADORA2A,LRFN5,PRICKLE2,TMOD2,HS6ST2,DTNA"
"AmplificationPeak3"	0.0069	0.303107142857143	22	268	924	19965	"GCANCTGNY_V$MYOD_Q6"	"SNPH,SLC8A3,SLC22A17,ITGA7,CYFIP2,MYCT1,SLC9A9,JAKMIP2,SYNE1,UNC45B,ANK2,CACNA2D3,DLG2,PGM5,FNDC5,RADIL,NEGR1,PPP1R16B,LRFN5,TACR1,PSD,CTSG"
"AmplificationPeak3"	0.0077	0.326586206896552	10	268	301	19965	"TGANNYRGCA_V$TCF11MAFG_01"	"NUDT10,PPP2R2B,NAP1L2,NAP1L5,LYVE1,DTNA,MAPK10,CDON,SLC8A3,SDPR"
"AmplificationPeak3"	0.0085	0.3485	9	268	259	19965	"V$AMEF2_Q6"	"PPP2R2B,ARHGEF15,DLG2,S1PR1,KRT222,PPP1R16B,ITGA7,TACR1,GNAO1"
"AmplificationPeak3"	0.0098	0.388838709677419	9	268	265	19965	"V$GATA6_01"	"ZNF781,SFRP1,EPB41L3,ITPR1,CDON,CACNA2D3,SALL2,MYCT1,ERG"
"AmplificationPeak3"	0.011	0.41	8	268	224	19965	"V$LHX3_01"	"PPP2R2B,CELF2,KCNMA1,ELMO1,ADRB2,RTN4RL1,PIK3R3,GNAO1"
"AmplificationPeak3"	0.011	0.41	40	268	2061	19965	"TTGTTT_V$FOXO4_01"	"SCN3A,GPLD1,GHR,S1PR1,TSPAN2,CD36,TAL1,HS6ST2,NCALD,TEK,APOLD1,GNAO1,NUDT10,SLIT3,DLG2,MAPK10,ITPR1,TIAM1,GARNL3,PPP2R2B,PDK4,ABCB1,FABP4,ID4,ZNF781,ZDHHC15,BCL2,PALMD,SH3BP5,GRAP2,EMCN,NAP1L5,CACNA2D3,DTNA,SPARCL1,CDKL2,LRFN5,EVL,ERG,KCNN1"
"AmplificationPeak3"	0.012	0.41	9	268	272	19965	"V$NFE2_01"	"LRRC2,NUDT10,MAP2,LYVE1,DTNA,MAPK10,RCAN2,FAM184A,HS6ST2"
"AmplificationPeak3"	0.012	0.41	5	268	101	19965	"V$PAX6_01"	"CNTFR,SDPR,RTN4RL1,ERG,LRRN2"
"AmplificationPeak3"	0.012	0.41	7	268	184	19965	"YTAATTAA_V$LHX3_01"	"CD36,TAL1,ELMO1,LRFN5,RTN4RL1,PIK3R3,GNAO1"
