"set"	"pval"	"fdr"	"set.annotated"	"set.size"	"category.annotated"	"total.annotated"	"category"	"hits"
"AmplificationPeak1"	0.031	1	1	24	26	19965	"V$TAXCREB_02"	"ADIPOR2"
"AmplificationPeak1"	0.034	1	2	24	242	19965	"V$IRF_Q6"	"RAD51AP1,C12orf4"
"AmplificationPeak1"	0.035	1	2	24	247	19965	"V$ISRE_01"	"RAD51AP1,C12orf4"
"AmplificationPeak1"	0.035	1	2	24	247	19965	"V$TGIF_01"	"RAD51AP1,C12orf4"
"AmplificationPeak1"	0.035	1	2	24	248	19965	"V$ICSBP_Q6"	"RAD51AP1,C12orf4"
"AmplificationPeak1"	0.036	1	2	24	252	19965	"V$AREB6_04"	"RAD51AP1,C12orf4"
"AmplificationPeak1"	0.04	1	2	24	266	19965	"V$TCF1P_Q6"	"RAD51AP1,C12orf4"
"AmplificationPeak1"	0.041	1	2	24	269	19965	"V$ER_Q6_01"	"FBXL14,FKBP4"
"AmplificationPeak1"	0.06	1	1	24	51	19965	"CGGAARNGGCNG_UNKNOWN"	"C1orf74"
"AmplificationPeak1"	0.071	1	2	24	365	19965	"YNGTTNNNATT_UNKNOWN"	"RAD51AP1,C12orf4"
"AmplificationPeak1"	0.083	1	1	24	72	19965	"YTCCCRNNAGGY_UNKNOWN"	"WNK1"
"AmplificationPeak1"	0.1	1	2	24	449	19965	"ACTAYRNNNCCCR_UNKNOWN"	"FKBP4,WNK1"
"AmplificationPeak1"	0.17	1	1	24	152	19965	"TTCNRGNNNNTTC_V$HSF_Q6"	"FKBP4"
"AmplificationPeak1"	0.22	1	1	24	201	19965	"V$HSF_Q6"	"FKBP4"
"AmplificationPeak1"	0.22	1	1	24	205	19965	"V$TFIII_Q6"	"ADIPOR2"
"AmplificationPeak1"	0.23	1	1	24	211	19965	"V$CREB_Q4_01"	"ITFG2"
"AmplificationPeak1"	0.23	1	1	24	220	19965	"V$CREB_Q2_01"	"ITFG2"
"AmplificationPeak1"	0.25	1	1	24	234	19965	"V$HNF6_Q6"	"WNK1"
"AmplificationPeak1"	0.25	1	1	24	236	19965	"V$CDPCR3HD_01"	"WNK1"
"AmplificationPeak1"	0.25	1	1	24	236	19965	"V$NKX61_01"	"WNK1"
"AmplificationPeak1"	0.25	1	1	24	238	19965	"V$EVI1_04"	"SSX5"
"AmplificationPeak1"	0.26	1	1	24	244	19965	"V$PTF1BETA_Q6"	"WNK1"
"AmplificationPeak1"	0.26	1	1	24	245	19965	"V$NFY_C"	"NCAPD2"
"AmplificationPeak1"	0.26	1	1	24	250	19965	"V$HSF2_01"	"FKBP4"
"AmplificationPeak1"	0.26	1	2	24	827	19965	"TGACAGNY_V$MEIS1_01"	"RAD51AP1,C12orf4"
"AmplificationPeak1"	0.26	1	1	24	251	19965	"V$CEBP_Q3"	"WNK1"
"AmplificationPeak1"	0.26	1	1	24	251	19965	"V$AP2_Q3"	"FBXL14"
"AmplificationPeak1"	0.26	1	1	24	252	19965	"V$CREB_Q3"	"C1orf74"
"AmplificationPeak1"	0.26	1	1	24	253	19965	"V$HNF1_Q6"	"WNK1"
"AmplificationPeak1"	0.26	1	1	24	254	19965	"V$CREBP1_Q2"	"ITFG2"
"AmplificationPeak1"	0.27	1	1	24	255	19965	"V$MYB_Q6"	"FBXL14"
"AmplificationPeak1"	0.27	1	1	24	258	19965	"V$AP2_Q6"	"WNK1"
"AmplificationPeak1"	0.27	1	1	24	259	19965	"V$ATF_01"	"ITFG2"
"AmplificationPeak1"	0.27	1	1	24	262	19965	"V$CEBPB_01"	"FBXL14"
"AmplificationPeak1"	0.27	1	1	24	262	19965	"V$PAX4_01"	"ADIPOR2"
"AmplificationPeak1"	0.27	1	1	24	263	19965	"V$CREB_Q2"	"ITFG2"
"AmplificationPeak1"	0.27	1	1	24	263	19965	"V$AML1_01"	"NDUFA9"
"AmplificationPeak1"	0.27	1	1	24	263	19965	"V$AML1_Q6"	"NDUFA9"
"AmplificationPeak1"	0.27	1	1	24	264	19965	"V$AFP1_Q6"	"WNK1"
"AmplificationPeak1"	0.27	1	1	24	265	19965	"V$SOX5_01"	"WNK1"
"AmplificationPeak1"	0.28	1	1	24	266	19965	"V$OCT1_06"	"SSX5"
"AmplificationPeak1"	0.28	1	1	24	267	19965	"V$HSF1_01"	"FKBP4"
"AmplificationPeak1"	0.28	1	1	24	267	19965	"V$CEBP_Q2_01"	"FBXL14"
"AmplificationPeak1"	0.28	1	1	24	268	19965	"V$CREB_Q4"	"ITFG2"
"AmplificationPeak1"	0.28	1	1	24	268	19965	"V$OCT_C"	"FBXL14"
"AmplificationPeak1"	0.28	1	1	24	272	19965	"V$AP2_Q6_01"	"WNK1"
"AmplificationPeak1"	0.28	1	1	24	273	19965	"V$COREBINDINGFACTOR_Q6"	"NDUFA9"
"AmplificationPeak1"	0.28	1	1	24	276	19965	"V$ER_Q6"	"FKBP4"
"AmplificationPeak1"	0.29	1	1	24	277	19965	"V$HAND1E47_01"	"FBXL14"
"AmplificationPeak1"	0.3	1	1	24	289	19965	"V$E4F1_Q6"	"ITFG2"
"AmplificationPeak1"	0.3	1	2	24	918	19965	"RCGCANGCGY_V$NRF1_Q6"	"HORMAD1,WNK1"
"AmplificationPeak1"	0.4	1	1	24	427	19965	"GCCATNTTG_V$YY1_Q6"	"NCAPD2"
"AmplificationPeak1"	0.41	1	2	24	1160	19965	"GATTGGY_V$NFY_Q6_01"	"SSX5,NCAPD2"
"AmplificationPeak1"	0.42	1	1	24	446	19965	"RGAANNTTC_V$HSF1_01"	"FKBP4"
"AmplificationPeak1"	0.48	1	4	24	2940	19965	"GGGCGGR_V$SP1_Q6"	"FBXL14,WNK1,NCAPD2,FKBP4"
"AmplificationPeak1"	0.48	1	1	24	538	19965	"TGCTGAY_UNKNOWN"	"SSX5"
"AmplificationPeak1"	0.49	1	1	24	556	19965	"YCATTAA_UNKNOWN"	"WNK1"
"AmplificationPeak1"	0.53	1	1	24	616	19965	"WTGAAAT_UNKNOWN"	"FBXL14"
"AmplificationPeak1"	0.55	1	1	24	658	19965	"GTGACGY_V$E4F1_Q6"	"ITFG2"
"AmplificationPeak1"	0.56	1	2	24	1524	19965	"CAGCTG_V$AP4_Q5"	"RAD51AP1,C12orf4"
"AmplificationPeak1"	0.59	1	1	24	722	19965	"TGCCAAR_V$NF1_Q6"	"WNK1"
"AmplificationPeak1"	0.68	1	2	24	1896	19965	"TGGAAA_V$NFAT_Q4_01"	"FBXL14,WNK1"
"AmplificationPeak1"	0.69	1	1	24	952	19965	"TTANTCA_UNKNOWN"	"WNK1"
"AmplificationPeak1"	0.74	1	1	24	1085	19965	"RYTTCCTG_V$ETS2_B"	"FBXL14"
