"alt"	"cis"	"trans"	"yind"	"zind"	"taudiff"	"tau0"	"tau1"	"tauratio"	"Z"	"S"	"pvalue"	"fdr"
"cn1"	"cis1.1"	"t.m.cis1.2"	1	1	0.247266005201051	0.904617987325278	0.657351982124227	0.273337484623927	1.00792561189629	0.245321680769526	0.156745087533939	0.58779407825227
"cn1"	"cis1.1"	"t.m.cis1"	1	2	0.485369511824024	0.947131116576774	0.46176160475275	0.512462850527285	1.81451425042561	0.267492807901716	0.0347992954097478	0.173996477048739
"cn1"	"cis1.1"	"t.d.1"	1	3	0.0169496571461922	1.06011418019401	1.04316452304782	0.0159885203526758	0.0527518940969936	0.321308977361596	0.478964795521372	0.953476861499415
"cn1"	"cis1.1"	"t.d.1.2"	1	4	-0.382683980127793	1.06974125525506	1.45242523538285	-0.357735086169552	-0.993032639166529	0.385368984899617	0.839652975639686	0.953476861499415
"cn1"	"cis1.1"	"t.d.1.1"	1	5	-0.0479631752680907	0.814207725772565	0.862170901040655	-0.0589077869809951	-0.134921725642959	0.355488895798849	0.553663118983435	0.953476861499415
"cn1"	"cis1.2"	"t.m.cis1.2"	2	1	0.897521561126862	0.904617987325278	0.00709642619841634	0.992155333745465	5.0681130351048	0.177091859417911	2.00889399113169e-07	1.50667049334877e-06
"cn1"	"cis1.2"	"t.m.cis1"	2	2	-0.12024838727556	0.947131116576774	1.06737950385233	-0.126960655363298	-0.530183828125321	0.226805083249608	0.702007758777749	0.953476861499415
"cn1"	"cis1.2"	"t.d.1"	2	3	0.183394881213242	1.06011418019401	0.876719298980772	0.172995404306052	0.691218808212494	0.265321022857444	0.244714022982843	0.734142068948528
"cn1"	"cis1.2"	"t.d.1.2"	2	4	-0.184290275653157	1.06974125525506	1.25403153090821	-0.172275561728445	-0.574156254921208	0.320975821605301	0.717068965732708	0.953476861499415
"cn1"	"cis1.2"	"t.d.1.1"	2	5	-0.255613840686937	0.814207725772565	1.0698215664595	-0.313941802068258	-0.872285293969409	0.293039264165219	0.808473620853396	0.953476861499415
"cn1"	"cis1"	"t.m.cis1.2"	3	1	-0.116711535555842	0.904617987325278	1.02132952288112	-0.129017482728734	-0.597721369756505	0.19526077109036	0.724987067966799	0.953476861499415
"cn1"	"cis1"	"t.m.cis1"	3	2	1.03325253007365	0.947131116576774	-0.0861214134968811	1.09092871302566	5.60972059480615	0.184189660182061	1.01326765211832e-08	1.51990147817748e-07
"cn1"	"cis1"	"t.d.1"	3	3	0.0381856660675259	1.06011418019401	1.02192851412649	0.0360203332630995	0.150185385496274	0.25425687020974	0.44030917790044	0.953476861499415
"cn1"	"cis1"	"t.d.1.2"	3	4	-0.87330082029356	1.06974125525506	1.94304207554862	-0.816366402626343	-2.99501299344943	0.29158498550878	0.998627834244688	0.998627834244688
"cn1"	"cis1"	"t.d.1.1"	3	5	-0.341821827744837	0.814207725772565	1.1560295535174	-0.419821400516063	-1.22605886197287	0.278797240774237	0.889911737399454	0.953476861499415
"cn2"	"cis2"	"t.m.cis2"	1	1	0.718167772103397	1.06998776808131	0.351819995977915	0.671192506612674	4.94394499614843	0.14526208779889	3.8278656019665e-07	2.2967193611799e-06
"cn2"	"cis2"	"t.m.cis2.2.2"	1	2	0.361054523679216	0.962957530241429	0.601903006562213	0.37494335143596	1.9826328390181	0.182108616670563	0.0237042282325672	0.0995577585767822
"cn2"	"cis2"	"t.m.cis2.2.1"	1	3	0.0346205732862278	1.01226711738328	0.977646544097052	0.0342010252943139	0.168460604642982	0.205511391577865	0.433110466823379	0.83809518624664
"cn2"	"cis2"	"t.m.cis2.1"	1	4	0.0527847583559886	1.08045651136895	1.02767175301296	0.0488541258260452	0.235527475702562	0.224112954119409	0.406899678021501	0.83809518624664
"cn2"	"cis2"	"t.m.cis2.1.1"	1	5	0.00661925537891994	0.962662062232717	0.956042806853797	0.00687599069144555	0.03353106187544	0.197406673355855	0.486625547979058	0.83809518624664
