Arm	# Genes	Amp frequency	Amp z-score	Amp q-value	Del Frequency	Del z-score	Del q-value
1p	1423	0.03	-0.158	0.788	0.05	0.615	0.998
1q	1274	0.09	3.2	0.0027	0.03	-0.574	0.998
2p	590	0.06	0.585	0.519	0.02	-1.82	0.998
2q	1017	0.06	0.958	0.329	0.02	-1.58	0.998
3p	661	0.09	2.5	0.02	0.04	-0.609	0.998
3q	732	0.10	3.64	0.000582	0.03	-0.892	0.998
4p	291	0.01	-2.35	0.994	0.04	-0.696	0.998
4q	667	0.01	-2.53	0.994	0.04	-0.455	0.998
5p	169	0.12	4.22	5.98e-05	0.00	-2.95	0.998
5q	1009	0.11	4.61	1.14e-05	0.00	-2.65	0.998
6p	768	0.07	1.61	0.124	0.06	0.905	0.998
6q	550	0.04	-0.666	0.931	0.09	2.74	0.119
7p	390	0.23	10.8	0	0.02	-1.53	0.998
7q	815	0.22	11.4	0	0.02	-1.34	0.998
8p	370	0.05	0.205	0.653	0.06	0.871	0.998
8q	554	0.05	0.255	0.649	0.04	-0.769	0.998
9p	275	0.05	-0.3	0.831	0.03	-0.959	0.998
9q	731	0.07	1.42	0.167	0.02	-1.72	0.998
10p	248	0.05	-0.0617	0.787	0.01	-2.69	0.998
10q	817	0.02	-1.43	0.994	0.01	-2.5	0.998
11p	578	0.04	-0.166	0.788	0.01	-2.56	0.998
11q	1048	0.06	1.31	0.197	0.00	-2.71	0.998
12p	374	0.13	5.19	7e-07	0.01	-2.49	0.998
12q	943	0.13	5.65	7.95e-08	0.01	-2.26	0.998
13q	400	0.06	0.487	0.555	0.04	-0.852	0.998
14q	874	0.02	-1.34	0.994	0.03	-0.627	0.998
15q	776	0.03	-1.02	0.97	0.04	-0.316	0.998
16p	585	0.04	-0.498	0.898	0.01	-2.21	0.998
16q	456	0.02	-1.97	0.994	0.02	-1.97	0.998
17p	420	0.04	-0.794	0.931	0.07	1.55	0.998
17q	1086	0.05	0.316	0.637	0.03	-0.417	0.998
18p	93	0.15	5.39	2.77e-07	0.05	-0.086	0.998
18q	265	0.16	6.54	3.91e-10	0.03	-1.02	0.998
19p	721	0.07	1.73	0.108	0.01	-2.45	0.998
19q	1055	0.07	2.08	0.0562	0.01	-2.3	0.998
20p	249	0.08	1.63	0.124	0.01	-2.64	0.998
20q	528	0.08	1.9	0.0806	0.01	-2.53	0.998
21q	324	0.10	3.1	0.00349	0.01	-2.21	0.998
22q	598	0.03	-0.799	0.931	0.03	-1.14	0.998
