# Using amp_thresh=0.30, del_thresh=0.30
Sample	Low	High
ALLEE_p_Shipp_SNP_July_2_S_GenomeWideSNP_6_A06_609810	-0.300000	0.300000
ALLEE_p_Shipp_SNP_July_2_S_GenomeWideSNP_6_B01_609828	-0.835000	0.992000
ALLEE_p_Shipp_SNP_July_2_S_GenomeWideSNP_6_B02_609748	-0.915000	0.662000
ALLEE_p_Shipp_SNP_July_2_S_GenomeWideSNP_6_B06_609770	-0.300000	0.869000
ALLEE_p_Shipp_SNP_July_2_S_GenomeWideSNP_6_B07_609760	-0.935000	0.909000
ALLEE_p_Shipp_SNP_July_2_S_GenomeWideSNP_6_B09_609728	-0.300000	1.151000
ALLEE_p_Shipp_SNP_July_2_S_GenomeWideSNP_6_B12_609886	-0.300000	0.946000
ALLEE_p_Shipp_SNP_July_2_S_GenomeWideSNP_6_C01_609884	-0.300000	0.853000
ALLEE_p_Shipp_SNP_July_2_S_GenomeWideSNP_6_C03_609894	-0.300000	0.300000
ALLEE_p_Shipp_SNP_July_2_S_GenomeWideSNP_6_C04_609816	-0.941000	1.506000
ALLEE_p_Shipp_SNP_July_2_S_GenomeWideSNP_6_C08_609852	-0.775000	0.785000
ALLEE_p_Shipp_SNP_July_2_S_GenomeWideSNP_6_C09_609864	-0.861000	0.300000
ALLEE_p_Shipp_SNP_July_2_S_GenomeWideSNP_6_C10_609892	-0.746000	1.347000
ALLEE_p_Shipp_SNP_July_2_S_GenomeWideSNP_6_C12_609904	-0.300000	0.663000
ALLEE_p_Shipp_SNP_July_2_S_GenomeWideSNP_6_D02_609826	-0.300000	0.847000
ALLEE_p_Shipp_SNP_July_2_S_GenomeWideSNP_6_D03_609896	-0.300000	1.299000
ALLEE_p_Shipp_SNP_July_2_S_GenomeWideSNP_6_D05_609782	-0.300000	0.300000
ALLEE_p_Shipp_SNP_July_2_S_GenomeWideSNP_6_D08_609908	-0.814000	0.300000
ALLEE_p_Shipp_SNP_July_2_S_GenomeWideSNP_6_D10_609722	-0.300000	1.903000
ALLEE_p_Shipp_SNP_July_2_S_GenomeWideSNP_6_E01_609742	-1.003000	0.716000
ALLEE_p_Shipp_SNP_July_2_S_GenomeWideSNP_6_E02_609764	-0.970000	1.027000
ALLEE_p_Shipp_SNP_July_2_S_GenomeWideSNP_6_E03_609912	-0.300000	0.873000
ALLEE_p_Shipp_SNP_July_2_S_GenomeWideSNP_6_E04_609818	-0.300000	0.300000
ALLEE_p_Shipp_SNP_July_2_S_GenomeWideSNP_6_E05_609756	-0.300000	1.001000
ALLEE_p_Shipp_SNP_July_2_S_GenomeWideSNP_6_E06_609900	-0.897000	2.913000
ALLEE_p_Shipp_SNP_July_2_S_GenomeWideSNP_6_E07_609794	-0.300000	0.300000
ALLEE_p_Shipp_SNP_July_2_S_GenomeWideSNP_6_E08_609858	-0.300000	1.004000
ALLEE_p_Shipp_SNP_July_2_S_GenomeWideSNP_6_E09_609788	-0.797000	1.515000
ALLEE_p_Shipp_SNP_July_2_S_GenomeWideSNP_6_E10_609732	-0.300000	0.300000
ALLEE_p_Shipp_SNP_July_2_S_GenomeWideSNP_6_E11_609730	-0.300000	0.300000
ALLEE_p_Shipp_SNP_July_2_S_GenomeWideSNP_6_E12_609724	-0.300000	2.052000
ALLEE_p_Shipp_SNP_July_2_S_GenomeWideSNP_6_F01_609808	-0.300000	0.300000
ALLEE_p_Shipp_SNP_July_2_S_GenomeWideSNP_6_F05_609740	-0.300000	0.300000
ALLEE_p_Shipp_SNP_July_2_S_GenomeWideSNP_6_F06_609786	-0.300000	0.687000
ALLEE_p_Shipp_SNP_July_2_S_GenomeWideSNP_6_F07_609882	-0.300000	0.300000
ALLEE_p_Shipp_SNP_July_2_S_GenomeWideSNP_6_F10_609758	-0.300000	0.935000
ALLEE_p_Shipp_SNP_July_2_S_GenomeWideSNP_6_G01_609754	-0.328000	1.177000
ALLEE_p_Shipp_SNP_July_2_S_GenomeWideSNP_6_G02_609752	-0.300000	1.085000
ALLEE_p_Shipp_SNP_July_2_S_GenomeWideSNP_6_G03_609836	-0.300000	0.791000
ALLEE_p_Shipp_SNP_July_2_S_GenomeWideSNP_6_G05_609800	-0.300000	2.581000
FUNGI_g_Kuni_2_5LUE369_GenomeWideSNP_6_C08_40952	-0.300000	1.261000
FUNGI_g_Kuni_2_5LUE369_GenomeWideSNP_6_C10_40984	-0.300000	0.300000
FUNGI_g_Kuni_2_5LUE369_GenomeWideSNP_6_C12_41016	-0.869000	0.748000
FUNGI_g_Kuni_2_5LUE369_GenomeWideSNP_6_D02_40858	-0.300000	0.300000
FUNGI_g_Kuni_2_5LUE369_GenomeWideSNP_6_D04_40890	-0.300000	0.300000
FUNGI_g_Kuni_2_5LUE369_GenomeWideSNP_6_D06_40922	-0.300000	0.300000
FUNGI_g_Kuni_2_5LUE369_GenomeWideSNP_6_D09_40970	-0.300000	0.625000
FUNGI_g_Kuni_2_5LUE369_GenomeWideSNP_6_D12_41018	-0.863000	0.815000
HAMES_p_Shipp_AffySNP_22010_GenomeWideSNP_6_A03_566342	-0.300000	0.930000
HAMES_p_Shipp_AffySNP_22010_GenomeWideSNP_6_A04_566454	-0.300000	0.300000
HAMES_p_Shipp_AffySNP_22010_GenomeWideSNP_6_A05_566444	-0.817000	1.273000
HAMES_p_Shipp_AffySNP_22010_GenomeWideSNP_6_A10_566480	-0.300000	0.300000
HAMES_p_Shipp_AffySNP_22010_GenomeWideSNP_6_A11_566370	-0.668000	0.810000
HAMES_p_Shipp_AffySNP_22010_GenomeWideSNP_6_B08_566408	-0.300000	0.300000
HAMES_p_Shipp_AffySNP_22010_GenomeWideSNP_6_C08_566398	-1.114000	0.300000
HAMES_p_Shipp_AffySNP_22010_GenomeWideSNP_6_D01_566500	-0.300000	0.300000
HAMES_p_Shipp_AffySNP_22010_GenomeWideSNP_6_D02_566520	-0.629000	0.300000
HAMES_p_Shipp_AffySNP_22010_GenomeWideSNP_6_D07_566388	-0.995000	0.967000
HAMES_p_Shipp_AffySNP_22010_GenomeWideSNP_6_D10_566386	-0.300000	0.955000
HAMES_p_Shipp_AffySNP_22010_GenomeWideSNP_6_D11_566344	-0.300000	1.097000
HAMES_p_Shipp_AffySNP_22010_GenomeWideSNP_6_D12_566356	-0.300000	0.622000
HAMES_p_Shipp_AffySNP_22010_GenomeWideSNP_6_E04_566456	-0.835000	0.840000
HAMES_p_Shipp_AffySNP_22010_GenomeWideSNP_6_E09_566348	-0.300000	1.012000
HAMES_p_Shipp_AffySNP_22010_GenomeWideSNP_6_E12_566518	-1.153000	0.300000
