"gene_symbol"	"fold.change"	"adj.P.Val.all"	"t"	"high.class"	"mean1.unlog"	"mean0.unlog"	"sd0.unlog"	"sd1.unlog"	"entrez_id"	"gene_description"	"Unique.Name"	"Descriptor"	"alteration_direction"	"interaction_type"	"logFC"	"AveExpr"	"P.Value"	"adj.P.Val"	"B"	"mean0.log"	"mean1.log"	"sd0.log"	"sd1.log"	"n0"	"n1"
"DPH2"	1.7244617422556	1.57480476411965e-09	6.71802684844263	"case"	885.994966666667	447.869264242424	110.372776870557	655.069713672169	"1802"	"DPH2 homolog"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.786146122495278	8.82232538302313	1.20214104131271e-10	1.09394834759456e-08	13.1010057881121	8.76902734082006	9.55517346331533	0.345648118970448	0.784434299256247	165	12
"CTPS1"	1.93458135566633	9.55108662366244e-08	5.82948417808646	"case"	1194.93308333333	515.809803030303	171.852414547175	974.514017088457	"1503"	"CTP synthase 1"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.952021400245792	8.99724063135089	1.28319942424778e-08	5.83855738032739e-07	8.57131922745927	8.93269680760542	9.88471820785121	0.504491816582972	0.973363101875841	165	12
"YBX1"	1.69926507005645	1.72972551120198e-07	5.69732612301053	"case"	12633.9749583333	6590.07876727273	1702.05755863655	9163.88557637204	"4904"	"Y box binding protein 1"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.76491091751784	12.6840540554423	2.48235416874789e-08	7.52980764520192e-07	7.93371732042627	12.632195688153	13.3971066056708	0.416160637835802	0.77286175091924	165	12
"NFYC"	1.41178357946187	2.64926664890184e-06	5.07763679352793	"case"	1379.808975	876.936224848485	163.198965841795	905.933320112424	"4802"	"nuclear transcription factor Y, gamma"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.497518946422428	9.78532031529119	4.79521611244427e-07	1.09091166558107e-05	5.08270725881508	9.75159021722866	10.2491091636511	0.28309923025265	0.679611375980089	165	12
"FOXJ3"	1.48068914074224	4.90464470192653e-06	4.92357104568374	"case"	1786.80778333333	1043.14134	218.07016685146	1464.64684182706	"22887"	"forkhead box J3"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.566268789726532	10.0303864388572	9.65952926028278e-07	1.25573880383676e-05	4.41136039573259	9.99199533446895	10.5582641241955	0.340731540612887	0.762506229869889	165	12
"TRIT1"	1.42541570045521	4.89659841345205e-06	4.92566618857378	"case"	519.099816666667	344.581709090909	77.1048377117376	242.843763100037	"54802"	"tRNA isopentenyltransferase 1"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.511382720348168	8.43207828546786	9.56892514384522e-07	1.25573880383676e-05	4.42038550845141	8.397408270529	8.90879099087716	0.322360573331359	0.566024183742225	165	12
"YRDC"	1.48997640665256	4.58766562739368e-06	4.94363050350042	"case"	573.41425	325.924734545455	78.1489580225105	466.687703396673	"79693"	"yrdC N(6)-threonylcarbamoyltransferase domain containing"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.575289486207684	8.35323046070958	8.82512777178022e-07	1.25573880383676e-05	4.49788843344461	8.31422778367855	8.88951726988623	0.33202484065178	0.851785130244223	165	12
"MED8"	1.39921723588918	7.5961365345302e-06	4.80714956561535	"case"	1027.099225	690.891239393939	147.464288415421	496.655284919121	"112950"	"mediator complex subunit 8"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.484619965940741	9.43483539832087	1.62360170203699e-06	1.84684693606707e-05	3.91445716598067	9.40197980740963	9.88659977335037	0.309272032038433	0.576541801887243	165	12
"PPCS"	1.44684087025652	8.83420420410824e-06	4.76183357250546	"case"	1634.56379166667	980.222117575758	230.380373476156	1357.49492256596	"79717"	"phosphopantothenoylcysteine synthetase"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.53290625682736	9.93706728840466	1.98263819542582e-06	2.00466750870833e-05	3.72350630974634	9.90093805065365	10.433844307481	0.329523229970798	0.752518356429514	165	12
"SF3A3"	1.34807714560473	1.19278897681926e-05	4.67947728054211	"case"	1968.71866666667	1407.16489878788	259.372368604825	748.425710440828	"10946"	"splicing factor 3a, subunit 3, 60kDa"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.430903059128626	10.4622136467095	2.84084092189013e-06	2.35015021720002e-05	3.38005775289115	10.4329998799889	10.8639029391175	0.286488093802648	0.48005923756877	165	12
"UTP11L"	1.37892410207142	1.1142740942234e-05	4.69811165382248	"case"	773.182658333333	524.045673333333	99.7222993845141	371.188736540388	"51118"	"UTP11-like, U3 small nucleolar ribonucleoprotein (yeast)"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.46354305106613	9.03904227556847	2.61982000779241e-06	2.35015021720002e-05	3.45736148451832	9.00761562803857	9.47115867910469	0.297945401912132	0.597956733134275	165	12
"EBNA1BP2"	1.45875379466334	1.59441049525492e-05	4.60348293750267	"case"	1743.46390833333	1014.00427090909	260.862128263556	1470.30947575561	"10969"	"EBNA1 binding protein 2"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.544736408827131	9.98209209698941	3.94342748444729e-06	2.9904325090392e-05	3.06728303885432	9.94516081503503	10.4898972238622	0.343660451284886	0.83158238703045	165	12
"GNL2"	1.33526249179282	8.36758294268353e-05	4.18676946337755	"case"	1679.74105	1195.51337757576	251.339602512511	686.991881277364	"29889"	"guanine nucleotide binding protein-like 2 (nucleolar)"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.41712338115066	10.2212183310207	2.22283882752204e-05	0.000155598717926542	1.42497143486914	10.1929387797562	10.6100621609069	0.305121727845309	0.572316337447651	165	12
"ZMPSTE24"	1.43593906836241	9.46794367087511e-05	4.15441356240702	"case"	2453.47501666667	1443.93506909091	366.198039450748	2043.47053240587	"10269"	"zinc metallopeptidase STE24"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.52199453214396	10.4860342615123	2.5296032708445e-05	0.000164424212604892	1.30273833771314	10.4506448017059	10.9726393338499	0.371064457810598	0.849800415305382	165	12
"MTF1"	1.45447704422344	0.000224831278060689	3.91283268367647	"case"	720.461508333333	443.928805454545	119.637843235657	479.713435906816	"4520"	"metal-regulatory transcription factor 1"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.540500526794798	8.77546226261151	6.48749794709468e-05	0.000393574875457077	0.414963404546484	8.73881815909999	9.27931868589478	0.432272968602734	0.764460415396982	165	12
"MYCBP"	1.41765139623156	0.000270924313518849	3.86228622966863	"case"	958.976741666666	563.295259393939	151.424167687402	909.745810086986	"26292"	"MYC binding protein"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.503502814129899	9.12308980616119	7.85887321657731e-05	0.000446973414192834	0.234841198501083	9.08895402215239	9.59245683628228	0.38979697595757	0.853151026152385	165	12
"PABPC4"	1.54334491657728	0.000367302795492604	3.77682241717136	"case"	5153.94851666667	3128.04797878788	1447.67515405412	3243.23408559841	"8761"	"poly(A) binding protein, cytoplasmic 4 (inducible form)"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.6260605206429	11.5452928321279	0.000108228151954309	0.000579338931049538	-0.0652041996733841	11.5028480510674	12.1289085717102	0.538557241492498	0.750697592691046	165	12
"PPIE"	1.30871871206705	0.000452823555984751	3.71732545408417	"case"	1113.26740833333	826.958463636364	198.083504208483	407.125437536178	"10450"	"peptidylprolyl isomerase E (cyclophilin E)"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.388155046622925	9.68104305914835	0.000134810066285536	0.000681539779554656	-0.270715077466116	9.65472746276714	10.0428825093901	0.332988909955975	0.488914273249544	165	12
"MYCL"	2.22807083652873	0.00051729774360397	3.67258880423302	"case"	635.98575	177.504683636364	196.535431838608	792.416839465768	"4610"	"v-myc avian myelocytomatosis viral oncogene lung carcinoma derived homolog"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	1.15579510066904	7.19978978462273	0.000158743277044882	0.000760296747951805	-0.423404958555477	7.12143079474686	8.2772258954159	0.987883825093536	1.80891068209738	165	12
"PPIH"	1.47239299625807	0.000565141599744388	3.64546558634629	"case"	507.744966666667	329.056011515152	131.520901873041	314.070477090403	"10465"	"peptidylprolyl isomerase H (cyclophilin H)"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.558162792373476	8.31277285140751	0.000175150755340627	0.000796935936799853	-0.515206813457632	8.27493130616185	8.83309409853532	0.501886220492181	0.634980965046757	165	12
"IPO13"	1.336720698663	0.0006300949396238	3.61255886149384	"case"	1022.85471666667	748.511904848485	196.513196052832	418.080137026875	"9670"	"importin 13"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.418698052755314	9.53032241726418	0.000197205286447144	0.000854556241270955	-0.625797944890091	9.5019361086028	9.92063416135811	0.378522874746837	0.461801137213271	165	12
