"set"	"pval"	"fdr"	"set.annotated"	"set.size"	"category.annotated"	"total.annotated"	"category"	"hits"
"cis"	0.00062	0.798	3	292	12	19965	"REACTOME_SIGNALING_BY_NOTCH2"	"NCSTN,NOTCH2,APH1A"
"cis"	0.0012	0.798	3	292	15	19965	"KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS"	"HMGCS2,FDPS,PMVK"
"cis"	0.0021	0.8645	5	292	62	19965	"REACTOME_RNA_POL_I_PROMOTER_OPENING"	"HIST2H3C,HIST2H3D,HIST2H2AA3,HIST2H2BE,HIST2H4A"
"cis"	0.0028	0.8645	7	292	128	19965	"KEGG_SPLICEOSOME"	"SF3A3,HSPA6,PRPF3,SF3B4,PPIH,RBM8A,PPIE"
"cis"	0.0046	0.8645	7	292	140	19965	"KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS"	"HIST2H2AB,HIST2H3C,HIST2H4A,HIST2H2BE,HIST2H2BF,HIST2H3D,HIST2H2AA3"
"cis"	0.0049	0.8645	12	292	344	19965	"NABA_SECRETED_FACTORS"	"RPTN,S100A1,S100A10,S100A11,S100A13,S100A14,S100A16,S100A2,S100A3,S100A4,S100A5,S100A6"
"cis"	0.005	0.8645	3	292	24	19965	"REACTOME_CHOLESTEROL_BIOSYNTHESIS"	"PMVK,FDPS,HSD17B7"
"cis"	0.0072	0.8645	6	292	116	19965	"REACTOME_MEIOSIS"	"HIST2H3C,LMNA,HIST2H3D,HIST2H2AA3,HIST2H2BE,HIST2H4A"
"cis"	0.0074	0.8645	5	292	83	19965	"REACTOME_AMYLOIDS"	"HIST2H3C,HIST2H3D,HIST2H2AA3,HIST2H2BE,HIST2H4A"
"cis"	0.0086	0.8645	5	292	86	19965	"REACTOME_MEIOTIC_RECOMBINATION"	"HIST2H3C,HIST2H3D,HIST2H2AA3,HIST2H2BE,HIST2H4A"
"cis"	0.0089	0.8645	2	292	10	19965	"REACTOME_REGULATED_PROTEOLYSIS_OF_P75NTR"	"NCSTN,APH1A"
"cis"	0.009	0.8645	5	292	87	19965	"REACTOME_MITOTIC_PROMETAPHASE"	"CDCA8,RPS27,NUF2,CENPL,CDC20"
"cis"	0.0091	0.8645	6	292	122	19965	"REACTOME_RNA_POL_I_RNA_POL_III_AND_MITOCHONDRIAL_TRANSCRIPTION"	"POLR3C,HIST2H3C,HIST2H3D,HIST2H2AA3,HIST2H2BE,HIST2H4A"
"cis"	0.0094	0.8645	13	292	421	19965	"REACTOME_CELL_CYCLE"	"CKS1B,LMNA,CDCA8,PSMB4,PSMD4,RPS27,RFWD2,HIST2H2AA3,HIST2H2BE,NUF2,HIST2H4A,CENPL,CDC20"
"cis"	0.0099	0.8645	5	292	89	19965	"REACTOME_RNA_POL_I_TRANSCRIPTION"	"HIST2H3C,HIST2H3D,HIST2H2AA3,HIST2H2BE,HIST2H4A"
"cis"	0.011	0.8645	4	292	59	19965	"PID_NOTCH_PATHWAY"	"MYCBP,NOTCH2,APH1A,NCSTN"
"cis"	0.012	0.8645	4	292	60	19965	"REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE"	"NCSTN,APH1A,ARHGEF2,ARHGEF11"
"cis"	0.013	0.8645	2	292	12	19965	"REACTOME_SIGNALING_BY_NOTCH4"	"NCSTN,APH1A"
"cis"	0.013	0.8645	2	292	12	19965	"REACTOME_SIGNALING_BY_NOTCH3"	"NCSTN,APH1A"
"cis"	0.013	0.8645	7	292	172	19965	"REACTOME_MITOTIC_M_M_G1_PHASES"	"CDCA8,PSMB4,PSMD4,RPS27,NUF2,CENPL,CDC20"
"cis"	0.017	1	2	292	14	19965	"REACTOME_N_GLYCAN_ANTENNAE_ELONGATION"	"B4GALT3,B4GALT2"
"cis"	0.018	1	3	292	38	19965	"PID_P38_ALPHA_BETA_DOWNSTREAM_PATHWAY"	"PTGS2,PLA2G4A,USF1"
"cis"	0.02	1	2	292	15	19965	"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE"	"B4GALT3,B4GALT2"
"cis"	0.02	1	2	292	15	19965	"REACTOME_NRIF_SIGNALS_CELL_DEATH_FROM_THE_NUCLEUS"	"NCSTN,APH1A"
"cis"	0.022	1	4	292	73	19965	"REACTOME_MEIOTIC_SYNAPSIS"	"LMNA,HIST2H2AA3,HIST2H2BE,HIST2H4A"
"cis"	0.022	1	2	292	16	19965	"KEGG_RIBOFLAVIN_METABOLISM"	"ACP6,FLAD1"
