"set"	"pval"	"fdr"	"set.annotated"	"set.size"	"category.annotated"	"total.annotated"	"category"	"hits"
"cistrans.up"	0.0058	1	3	639	12	19965	"REACTOME_SIGNALING_BY_NOTCH2"	"NCSTN,NOTCH2,APH1A"
"cistrans.up"	0.0094	1	7	639	74	19965	"REACTOME_G_ALPHA1213_SIGNALLING_EVENTS"	"GNG7,GNG2,PREX1,TIAM1,PIK3R3,ARHGEF2,ARHGEF11"
"cistrans.up"	0.01	1	4	639	27	19965	"REACTOME_STRIATED_MUSCLE_CONTRACTION"	"TMOD1,TNNI1,TNNT2,TPM3"
"cistrans.up"	0.011	1	3	639	15	19965	"KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS"	"HMGCS2,FDPS,PMVK"
"cistrans.up"	0.012	1	6	639	60	19965	"REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE"	"NCSTN,APH1A,PREX1,TIAM1,ARHGEF2,ARHGEF11"
"cistrans.up"	0.013	1	4	639	29	19965	"PID_REELIN_PATHWAY"	"LRP8,ARHGEF2,RELN,MAPK8IP1"
"cistrans.up"	0.013	1	8	639	98	19965	"REACTOME_POTASSIUM_CHANNELS"	"ABCC9,GNG7,KCNB1,KCNH1,KCNJ10,KCNK1,KCNN1,GNG2"
"cistrans.up"	0.014	1	6	639	62	19965	"PID_TRKR_PATHWAY"	"TIAM1,DNM1,ELMO1,SHC1,MATK,RIT1"
"cistrans.up"	0.016	1	3	639	17	19965	"KEGG_RENIN_ANGIOTENSIN_SYSTEM"	"CMA1,CTSG,AGTR1"
"cistrans.up"	0.016	1	4	639	31	19965	"REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING"	"GNG7,GRIK5,GNG2,NCALD"
"cistrans.up"	0.016	1	4	639	31	19965	"REACTOME_INWARDLY_RECTIFYING_K_CHANNELS"	"ABCC9,GNG7,KCNJ10,GNG2"
"cistrans.up"	0.02	1	5	639	49	19965	"PID_ARF6_TRAFFICKING_PATHWAY"	"AGTR1,ADRB2,ITGA10,ITGA7,BIN1"
"cistrans.up"	0.02	1	6	639	67	19965	"KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY"	"CD36,ADIPOR2,ACSL6,MAPK10,ACACB,PCK1"
"cistrans.up"	0.022	1	3	639	19	19965	"PID_EPHA2_FWD_PATHWAY"	"EFNA1,TIAM1,SHC1"
"cistrans.up"	0.023	1	4	639	34	19965	"REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT"	"ABCC9,ABCA8,ABCA3,ABCB1"
"cistrans.up"	0.023	1	6	639	69	19965	"KEGG_PPAR_SIGNALING_PATHWAY"	"CD36,ACSL6,FABP4,PCK1,PLIN1,HMGCS2"
"cistrans.up"	0.025	1	4	639	35	19965	"PID_ARF6_PATHWAY"	"EFNA1,ADAP1,ADRB2,AGTR1"
"cistrans.up"	0.028	1	3	639	21	19965	"PID_S1P_S1P1_PATHWAY"	"GNAO1,PTGS2,S1PR1"
"cistrans.up"	0.032	1	4	639	38	19965	"PID_RAC1_REG_PATHWAY"	"TIAM1,PREX1,ARHGEF2,ELMO1"
"cistrans.up"	0.039	1	6	639	78	19965	"REACTOME_PLATELET_HOMEOSTASIS"	"GNG7,PDE2A,PLA2G4A,GNG2,SLC8A3,LRP8"
"cistrans.up"	0.039	1	2	639	10	19965	"REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM"	"PCK1,ABCB1"
"cistrans.up"	0.039	1	2	639	10	19965	"REACTOME_REGULATED_PROTEOLYSIS_OF_P75NTR"	"NCSTN,APH1A"
"cistrans.up"	0.04	1	3	639	24	19965	"REACTOME_CHOLESTEROL_BIOSYNTHESIS"	"PMVK,FDPS,HSD17B7"
"cistrans.up"	0.04	1	5	639	59	19965	"PID_NOTCH_PATHWAY"	"DNM1,MYCBP,NOTCH2,APH1A,NCSTN"
"cistrans.up"	0.041	1	6	639	79	19965	"PID_P73PATHWAY"	"PPAP2A,BIN1,GDF15,S100A2,DEDD,NDUFS2"
"cistrans.up"	0.045	1	3	639	25	19965	"KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS"	"PIGM,GPLD1,PIGC"
"cistrans.up"	0.045	1	3	639	25	19965	"REACTOME_INHIBITION_OF_INSULIN_SECRETION_BY_ADRENALINE_NORADRENALINE"	"GNAO1,GNG7,GNG2"
"cistrans.up"	0.045	1	3	639	25	19965	"REACTOME_ADP_SIGNALLING_THROUGH_P2RY1"	"GNG7,PLA2G4A,GNG2"
"cistrans.up"	0.045	1	3	639	25	19965	"REACTOME_INHIBITION_OF_VOLTAGE_GATED_CA2_CHANNELS_VIA_GBETA_GAMMA_SUBUNITS"	"GNG7,KCNJ10,GNG2"
"cistrans.up"	0.045	1	3	639	25	19965	"REACTOME_TRANSFERRIN_ENDOCYTOSIS_AND_RECYCLING"	"ATP6V0B,ATP6V1G2,TF"
"cistrans.up"	0.045	1	6	639	81	19965	"REACTOME_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING"	"NCSTN,APH1A,PREX1,TIAM1,ARHGEF2,ARHGEF11"
"cistrans.up"	0.046	1	2	639	11	19965	"REACTOME_IONOTROPIC_ACTIVITY_OF_KAINATE_RECEPTORS"	"GRIK5,NCALD"
"cistrans.up"	0.048	1	6	639	82	19965	"ST_INTEGRIN_SIGNALING_PATHWAY"	"ITGA10,MAPK10,MAPK8IP2,MAPK8IP1,ITGA7,SHC1"
"cistrans.up"	0.048	1	4	639	43	19965	"PID_CXCR3_PATHWAY"	"GNAO1,DNM1,PIK3R3,GNG2"
"cistrans.up"	0.048	1	4	639	43	19965	"REACTOME_NRAGE_SIGNALS_DEATH_THROUGH_JNK"	"PREX1,TIAM1,ARHGEF2,ARHGEF11"
"cistrans.up"	0.048	1	4	639	43	19965	"REACTOME_REGULATION_OF_INSULIN_SECRETION_BY_GLUCAGON_LIKE_PEPTIDE1"	"GNG7,KCNB1,GNG2,PRKAR2B"
"cistrans.up"	0.048	1	5	639	62	19965	"PID_FCER1_PATHWAY"	"PPAP2A,PTPN13,PLA2G4A,S1PR1,SHC1"
"cistrans.up"	0.048	1	5	639	62	19965	"REACTOME_RNA_POL_I_PROMOTER_OPENING"	"HIST2H3C,HIST2H3D,HIST2H2AA3,HIST2H2BE,HIST2H4A"
"cistrans.up"	0.051	1	5	639	63	19965	"PID_MYC_REPRESS_PATHWAY"	"SFRP1,CLU,BCL2,HMGCS2,NFYC"
"cistrans.up"	0.052	1	4	639	44	19965	"KEGG_ABC_TRANSPORTERS"	"ABCA3,ABCC9,ABCB1,ABCA8"
"cistrans.up"	0.052	1	17	639	344	19965	"NABA_SECRETED_FACTORS"	"CCL14,FGF20,GDF15,IL19,RPTN,S100A1,S100A10,S100A11,S100A13,S100A14,S100A16,S100A2,S100A3,S100A4,S100A5,S100A6,SFRP1"
"cistrans.up"	0.052	1	6	639	84	19965	"KEGG_SMALL_CELL_LUNG_CANCER"	"PIAS3,PTGS2,LAMC2,PIK3R3,BCL2,CKS1B"
"cistrans.up"	0.054	1	3	639	27	19965	"ST_GRANULE_CELL_SURVIVAL_PATHWAY"	"MAPK8IP2,MAPK8IP1,MAPK10"
"cistrans.up"	0.054	1	3	639	27	19965	"REACTOME_G_PROTEIN_ACTIVATION"	"GNAO1,GNG7,GNG2"
"cistrans.up"	0.055	1	2	639	12	19965	"BIOCARTA_AKAP95_PATHWAY"	"PRKAR2B,NCAPD2"
"cistrans.up"	0.055	1	2	639	12	19965	"BIOCARTA_CFTR_PATHWAY"	"PRKAR2B,ADRB2"
"cistrans.up"	0.055	1	2	639	12	19965	"BIOCARTA_PLCE_PATHWAY"	"PRKAR2B,ADRB2"
"cistrans.up"	0.055	1	2	639	12	19965	"REACTOME_SIGNALING_BY_NOTCH4"	"NCSTN,APH1A"
"cistrans.up"	0.055	1	2	639	12	19965	"REACTOME_SIGNALING_BY_NOTCH3"	"NCSTN,APH1A"
"cistrans.up"	0.055	1	6	639	85	19965	"KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM"	"LMNA,ITGA7,CACNA2D3,TPM3,ITGA10,TNNT2"
"cistrans.up"	0.055	1	4	639	45	19965	"ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS"	"MAPK8IP2,MAPK8IP1,SHC1,MAPK10"
"cistrans.up"	0.056	1	8	639	129	19965	"PID_PDGFRB_PATHWAY"	"MAPK10,CYFIP2,ARPC5,SHC1,S1PR1,PPP2R2B,PIK3R3,PLA2G4A"
"cistrans.up"	0.057	1	5	639	65	19965	"ST_FAS_SIGNALING_PATHWAY"	"MAPK10,MAPK8IP2,MAPK8IP1,PTPN13,DEDD"
"cistrans.up"	0.06	1	6	639	87	19965	"REACTOME_MITOTIC_PROMETAPHASE"	"CDCA8,RPS27,DSN1,NUF2,CENPL,CDC20"
"cistrans.up"	0.063	1	2	639	13	19965	"BIOCARTA_ACE2_PATHWAY"	"CMA1,AGTR1"
"cistrans.up"	0.063	1	2	639	13	19965	"REACTOME_HORMONE_SENSITIVE_LIPASE_HSL_MEDIATED_TRIACYLGLYCEROL_HYDROLYSIS"	"FABP4,PLIN1"
"cistrans.up"	0.064	1	3	639	29	19965	"KEGG_THYROID_CANCER"	"RET,TPR,TPM3"
"cistrans.up"	0.067	1	4	639	48	19965	"REACTOME_MUSCLE_CONTRACTION"	"TMOD1,TNNI1,TNNT2,TPM3"
"cistrans.up"	0.07	1	3	639	30	19965	"PID_EPHRINB_REV_PATHWAY"	"DNM1,PTPN13,TIAM1"
"cistrans.up"	0.072	1	11	639	208	19965	"REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION"	"RASGRP2,CAP1,CLU,F5,GNG7,PLA2G4A,GNG2,SHC1,TF,PIK3R3,CD36"
"cistrans.up"	0.072	1	2	639	14	19965	"REACTOME_N_GLYCAN_ANTENNAE_ELONGATION"	"B4GALT3,B4GALT2"
"cistrans.up"	0.072	1	2	639	14	19965	"REACTOME_SYNTHESIS_OF_VERY_LONG_CHAIN_FATTY_ACYL_COAS"	"ACSL6,ELOVL1"
"cistrans.up"	0.075	1	6	639	92	19965	"KEGG_DILATED_CARDIOMYOPATHY"	"LMNA,ITGA7,CACNA2D3,TPM3,ITGA10,TNNT2"
"cistrans.up"	0.076	1	3	639	31	19965	"KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM"	"AOC2,PHGDH,DMGDH"
"cistrans.up"	0.076	1	3	639	31	19965	"BIOCARTA_MYOSIN_PATHWAY"	"ARHGEF11,ARHGEF15,ARHGEF2"
"cistrans.up"	0.076	1	3	639	31	19965	"REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS"	"CERS2,CERS4,PPAP2A"
"cistrans.up"	0.076	1	3	639	31	19965	"REACTOME_SIGNAL_AMPLIFICATION"	"GNG7,PLA2G4A,GNG2"
"cistrans.up"	0.079	1	7	639	116	19965	"REACTOME_MEIOSIS"	"HIST2H3C,SYNE1,LMNA,HIST2H3D,HIST2H2AA3,HIST2H2BE,HIST2H4A"
"cistrans.up"	0.08	1	4	639	51	19965	"REACTOME_AQUAPORIN_MEDIATED_TRANSPORT"	"GNG7,GNG2,PRKAR2B,AQP10"
"cistrans.up"	0.081	1	5	639	72	19965	"REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION"	"MED8,FABP4,PCK1,PLIN1,CD36"
"cistrans.up"	0.081	1	8	639	140	19965	"KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS"	"HIST2H2AB,HIST2H3C,CTSG,HIST2H4A,HIST2H2BE,HIST2H2BF,HIST2H3D,HIST2H2AA3"
"cistrans.up"	0.082	1	2	639	15	19965	"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE"	"B4GALT3,B4GALT2"
"cistrans.up"	0.082	1	2	639	15	19965	"BIOCARTA_NUCLEARRS_PATHWAY"	"ABCB1,NR1I3"
"cistrans.up"	0.082	1	2	639	15	19965	"BIOCARTA_AKAPCENTROSOME_PATHWAY"	"PRKAR2B,MAP2"
"cistrans.up"	0.082	1	2	639	15	19965	"BIOCARTA_LONGEVITY_PATHWAY"	"SHC1,GHR"
"cistrans.up"	0.082	1	2	639	15	19965	"REACTOME_NRIF_SIGNALS_CELL_DEATH_FROM_THE_NUCLEUS"	"NCSTN,APH1A"
"cistrans.up"	0.084	1	5	639	73	19965	"REACTOME_MEIOTIC_SYNAPSIS"	"SYNE1,LMNA,HIST2H2AA3,HIST2H2BE,HIST2H4A"
"cistrans.up"	0.084	1	4	639	52	19965	"PID_KIT_PATHWAY"	"BCL2,GRAP2,SHC1,MATK"
"cistrans.up"	0.088	1	3	639	33	19965	"BIOCARTA_NO1_PATHWAY"	"PRKAR2B,PDE2A,TNNI1"
"cistrans.up"	0.088	1	3	639	33	19965	"REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION"	"MAN1C1,B4GALT3,B4GALT2"
"cistrans.up"	0.089	1	4	639	53	19965	"PID_CD8_TCR_PATHWAY"	"CD8B,SHC1,RASGRP2,GRAP2"
"cistrans.up"	0.09	1	11	639	217	19965	"REACTOME_SIGNALLING_BY_NGF"	"ADORA2A,DNM1,NCSTN,APH1A,PRKAR2B,PREX1,RIT1,SHC1,TIAM1,ARHGEF2,ARHGEF11"
"cistrans.up"	0.091	1	2	639	16	19965	"KEGG_RIBOFLAVIN_METABOLISM"	"ACP6,FLAD1"
"cistrans.up"	0.091	1	2	639	16	19965	"REACTOME_TGF_BETA_RECEPTOR_SIGNALING_IN_EMT_EPITHELIAL_TO_MESENCHYMAL_TRANSITION"	"F11R,CGN"
"cistrans.up"	0.091	1	2	639	16	19965	"REACTOME_NUCLEOTIDE_LIKE_PURINERGIC_RECEPTORS"	"ADORA2A,P2RY14"
"cistrans.up"	0.091	1	2	639	16	19965	"REACTOME_PLATELET_SENSITIZATION_BY_LDL"	"PLA2G4A,LRP8"
"cistrans.up"	0.094	1	3	639	34	19965	"BIOCARTA_MPR_PATHWAY"	"PRKAR2B,CAP1,ARPC5"
"cistrans.up"	0.094	1	3	639	34	19965	"SIG_CD40PATHWAYMAP"	"MAPK8IP2,MAPK8IP1,MAPK10"
"cistrans.up"	0.094	1	3	639	34	19965	"PID_IL2_PI3K_PATHWAY"	"BCL2,SHC1,TERT"
"cistrans.up"	0.094	1	3	639	34	19965	"PID_EPHA_FWDPATHWAY"	"ARHGEF15,EFNA1,EFNA3"
"cistrans.up"	0.094	1	3	639	34	19965	"PID_IL8_CXCR2_PATHWAY"	"ELMO1,GNG2,DNM1"
"cistrans.up"	0.094	1	3	639	34	19965	"REACTOME_GLUCAGON_SIGNALING_IN_METABOLIC_REGULATION"	"GNG7,GNG2,PRKAR2B"
"cistrans.up"	0.1	1	2	639	17	19965	"PID_SYNDECAN_3_PATHWAY"	"NCSTN,APH1A"
"cistrans.up"	0.1	1	2	639	17	19965	"REACTOME_TIE2_SIGNALING"	"SHC1,TEK"
"cistrans.up"	0.1	1	2	639	17	19965	"REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI"	"PIGC,PIGM"
"cistrans.up"	0.1	1	5	639	78	19965	"REACTOME_OPIOID_SIGNALLING"	"GNAO1,GNG7,PLA2G4A,GNG2,PRKAR2B"
"cistrans.up"	0.11	1	3	639	36	19965	"REACTOME_IRON_UPTAKE_AND_TRANSPORT"	"ATP6V0B,ATP6V1G2,TF"
"cistrans.up"	0.11	1	6	639	102	19965	"PID_CXCR4_PATHWAY"	"ITGA7,GNAO1,ITGA10,GNG2,PIK3R3,DNM1"
"cistrans.up"	0.11	1	2	639	18	19965	"KEGG_PHENYLALANINE_METABOLISM"	"AOC2,PRDX6"
"cistrans.up"	0.11	1	2	639	18	19965	"BIOCARTA_ARAP_PATHWAY"	"COPA,GPLD1"
