"set"	"pval"	"fdr"	"set.annotated"	"set.size"	"category.annotated"	"total.annotated"	"category"	"hits"
"trans.up"	0.0037	1	2	67	27	19965	"REACTOME_STRIATED_MUSCLE_CONTRACTION"	"TNNI1,TNNT2"
"trans.up"	0.008	1	2	67	40	19965	"PID_FOXM1_PATHWAY"	"CENPF,NEK2"
"trans.up"	0.011	1	2	67	48	19965	"REACTOME_MUSCLE_CONTRACTION"	"TNNI1,TNNT2"
"trans.up"	0.033	1	1	67	10	19965	"KEGG_LIMONENE_AND_PINENE_DEGRADATION"	"YOD1"
"trans.up"	0.036	1	1	67	11	19965	"REACTOME_SIGNALING_BY_ACTIVATED_POINT_MUTANTS_OF_FGFR1"	"FGF20"
"trans.up"	0.036	1	1	67	11	19965	"REACTOME_SIGNALING_BY_FGFR3_MUTANTS"	"FGF20"
"trans.up"	0.04	1	1	67	12	19965	"BIOCARTA_AKAP95_PATHWAY"	"NCAPD2"
"trans.up"	0.04	1	1	67	12	19965	"REACTOME_TANDEM_PORE_DOMAIN_POTASSIUM_CHANNELS"	"KCNK1"
"trans.up"	0.04	1	1	67	12	19965	"REACTOME_FGFR2C_LIGAND_BINDING_AND_ACTIVATION"	"FGF20"
"trans.up"	0.04	1	1	67	12	19965	"REACTOME_FGFR4_LIGAND_BINDING_AND_ACTIVATION"	"FGF20"
"trans.up"	0.046	1	1	67	14	19965	"REACTOME_FGFR1_LIGAND_BINDING_AND_ACTIVATION"	"FGF20"
"trans.up"	0.052	1	1	67	16	19965	"BIOCARTA_ACH_PATHWAY"	"TERT"
"trans.up"	0.052	1	1	67	16	19965	"REACTOME_ACTIVATED_POINT_MUTANTS_OF_FGFR2"	"FGF20"
"trans.up"	0.052	1	1	67	16	19965	"REACTOME_PLATELET_SENSITIZATION_BY_LDL"	"LRP8"
"trans.up"	0.059	1	1	67	18	19965	"BIOCARTA_TEL_PATHWAY"	"TERT"
"trans.up"	0.071	1	1	67	22	19965	"KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS"	"YOD1"
"trans.up"	0.071	1	1	67	22	19965	"REACTOME_FGFR_LIGAND_BINDING_AND_ACTIVATION"	"FGF20"
"trans.up"	0.074	1	1	67	23	19965	"KEGG_MISMATCH_REPAIR"	"EXO1"
"trans.up"	0.081	1	1	67	25	19965	"REACTOME_FANCONI_ANEMIA_PATHWAY"	"UBE2T"
"trans.up"	0.087	1	1	67	27	19965	"REACTOME_EXTENSION_OF_TELOMERES"	"TERT"
"trans.up"	0.09	1	1	67	28	19965	"PID_LIS1_PATHWAY"	"LRP8"
"trans.up"	0.09	1	1	67	28	19965	"REACTOME_SHC_MEDIATED_CASCADE"	"FGF20"
"trans.up"	0.09	1	1	67	28	19965	"REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A"	"NEK2"
"trans.up"	0.093	1	1	67	29	19965	"PID_REELIN_PATHWAY"	"LRP8"
"trans.up"	0.096	1	1	67	30	19965	"REACTOME_SIGNALING_BY_FGFR1_MUTANTS"	"FGF20"
"trans.up"	0.11	1	1	67	33	19965	"BIOCARTA_NO1_PATHWAY"	"TNNI1"
"trans.up"	0.11	1	1	67	34	19965	"PID_IL2_PI3K_PATHWAY"	"TERT"
"trans.up"	0.11	1	3	67	344	19965	"NABA_SECRETED_FACTORS"	"FGF20,GDF15,IL19"
"trans.up"	0.11	1	1	67	35	19965	"PID_ARF6_PATHWAY"	"ADAP1"
"trans.up"	0.11	1	1	67	36	19965	"REACTOME_FRS2_MEDIATED_CASCADE"	"FGF20"
"trans.up"	0.12	1	1	67	37	19965	"PID_IL23_PATHWAY"	"IL19"
"trans.up"	0.12	1	1	67	37	19965	"REACTOME_NEGATIVE_REGULATION_OF_FGFR_SIGNALING"	"FGF20"
"trans.up"	0.12	1	1	67	39	19965	"PID_AURORA_B_PATHWAY"	"NCAPD2"
"trans.up"	0.13	1	2	67	185	19965	"KEGG_HUNTINGTONS_DISEASE"	"DNAH2,NDUFA9"
"trans.up"	0.14	1	1	67	44	19965	"REACTOME_SIGNALING_BY_FGFR_MUTANTS"	"FGF20"
"trans.up"	0.15	1	1	67	47	19965	"PID_FANCONI_PATHWAY"	"UBE2T"
"trans.up"	0.15	1	1	67	47	19965	"PID_LKB1_PATHWAY"	"ETV4"
"trans.up"	0.15	1	1	67	49	19965	"PID_PI3KCI_PATHWAY"	"ADAP1"
"trans.up"	0.17	1	1	67	54	19965	"PID_TAP63_PATHWAY"	"GDF15"
"trans.up"	0.17	1	1	67	54	19965	"REACTOME_PHOSPHOLIPASE_C_MEDIATED_CASCADE"	"FGF20"
"trans.up"	0.17	1	3	67	421	19965	"REACTOME_CELL_CYCLE"	"NEK2,TERT,DSN1"
"trans.up"	0.17	1	1	67	56	19965	"REACTOME_PI_3K_CASCADE"	"FGF20"
"trans.up"	0.18	1	1	67	59	19965	"REACTOME_LOSS_OF_NLP_FROM_MITOTIC_CENTROSOMES"	"NEK2"
"trans.up"	0.19	1	1	67	61	19965	"PID_AR_PATHWAY"	"FKBP4"
"trans.up"	0.2	1	1	67	66	19965	"PID_HIF1_TFPATHWAY"	"TERT"
"trans.up"	0.2	1	1	67	66	19965	"REACTOME_RECRUITMENT_OF_MITOTIC_CENTROSOME_PROTEINS_AND_COMPLEXES"	"NEK2"
"trans.up"	0.2	1	1	67	67	19965	"KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY"	"ADIPOR2"
