"set"	"pval"	"fdr"	"set.annotated"	"set.size"	"category.annotated"	"total.annotated"	"category"	"hits"
"AmplificationPeak3"	5.8e-16	1.0701e-12	24	285	193	19965	"V$MAZ_Q6"	"EFNA1,PIAS3,RNF2,STX6,ARHGEF2,POGZ,FAM189B,OTUD7B,CA14,ZNF687,GABPB2,LMNA,C1orf106,ENSA,SETDB1,FDPS,RPRD2,PPOX,CRTC2,SHC1,KRTCAP2,CKS1B,SMG7,TPM3"
"AmplificationPeak3"	2.3e-15	2.12175e-12	25	285	226	19965	"V$TEF1_Q6"	"ATP1B1,DENND1B,PIAS3,CGN,LAMC2,MTX1,ZBTB37,RNF2,POGZ,OTUD7B,POGK,CDC42SE1,CA14,ETV3,LMNA,TNNT2,PAQR6,HDGF,MUC1,IER5,DEDD,SHC1,PRRC2C,CKS1B,NOTCH2NL"
"AmplificationPeak3"	5.8e-10	3.567e-07	19	285	224	19965	"V$SRY_01"	"EFNA1,SELENBP1,METTL18,RBM8A,F11R,LAMC2,EFNA4,RALGPS2,TDRD5,MTX1,ZBTB37,USF1,OTUD7B,CA14,NOS1AP,DEDD,CRTC2,TSEN15,CHTOP"
"AmplificationPeak1"	1.1e-09	4.797e-07	11	70	251	19965	"V$USF2_Q6"	"PTPRF,PABPC4,ATP6V0B,YBX1,ZMYND12,PPCS,IPO13,EBNA1BP2,RRAGC,B4GALT2,FOXJ3"
"AmplificationPeak3"	1.3e-09	4.797e-07	14	285	117	19965	"V$ETF_Q6"	"RUSC1,EFNA3,LAD1,SCYL3,DCAF8,RPRD2,RNF2,DAP3,CRTC2,UCHL5,USP21,CDC73,ZNF687,LRP8"
"AmplificationPeak3"	4.6e-09	1.4145e-06	18	285	226	19965	"V$LEF1_Q2"	"S100A3,CGN,EFNA4,RALGPS2,PVRL4,UAP1,PLA2G4A,GOLPH3L,SDHC,LRP8,IL19,IQGAP3,SCAMP3,TARS2,UBAP2L,SMG7,SCNM1,EDEM3"
"AmplificationPeak1"	1.7e-08	4.48071428571429e-06	9	70	185	19965	"V$MYC_Q2"	"EBNA1BP2,PTPRF,PABPC4,ATP6V0B,RRAGC,YBX1,B4GALT2,FOXJ3,IPO13"
"AmplificationPeak3"	2.4e-08	5.535e-06	18	285	251	19965	"V$USF2_Q6"	"RUSC1,CGN,TAGLN2,PLA2G4A,STX6,PFDN2,POGK,CA14,RUSC1-AS1,POLR3C,LRP8,NIT1,SCAMP3,ARPC5,TADA1,KRTCAP2,PRRC2C,IVNS1ABP"
"AmplificationPeak3"	3.7e-08	7.585e-06	15	285	176	19965	"V$E2F_Q2"	"ATP1B1,MPZL1,EFNA3,APH1A,LAMTOR2,USF1,RNF2,DAP3,TPR,POGZ,ANP32E,CDC73,TPM3,SNX27,LRP8"
"AmplificationPeak1"	2.8e-06	0.0005166	7	70	176	19965	"V$E2F_Q2"	"PABPC4,RRAGC,B4GALT2,SCMH1,CAP1,MED8,MYCBP"
