"set"	"pval"	"fdr"	"set.annotated"	"set.size"	"category.annotated"	"total.annotated"	"category"	"hits"
"AmplificationPeak3"	0.0012	0.095	10	311	200	19965	"HALLMARK_MYOGENESIS"	"TNNT2,TNNI1,FHL1,KCNH1,GPX3,CLU,ITGA7,GNAO1,DTNA,CD36"
"AmplificationPeak3"	0.0019	0.095	8	311	144	19965	"HALLMARK_UV_RESPONSE_DN"	"TGFBR3,PRKAR2B,CDON,PIK3R3,KCNMA1,SYNE1,CELF2,PTGFR"
"AmplificationPeak1"	0.0055	0.1375	3	36	200	19965	"HALLMARK_ESTROGEN_RESPONSE_EARLY"	"FKBP4,KCNK15,ENDOD1"
"AmplificationPeak3"	0.0042	0.1375	9	311	200	19965	"HALLMARK_KRAS_SIGNALING_UP"	"ETV4,TSPAN7,NAP1L2,PEG3,TNNT2,RELN,SPARCL1,ABCB1,EPB41L3"
"AmplificationPeak1"	0.05	1	2	36	200	19965	"HALLMARK_E2F_TARGETS"	"RAD51AP1,NCAPD2"
"AmplificationPeak1"	0.076	1	1	36	44	19965	"HALLMARK_APICAL_SURFACE"	"ADIPOR2"
"AmplificationPeak1"	0.1	1	1	36	58	19965	"HALLMARK_MYC_TARGETS_V2"	"NOP2"
"AmplificationPeak1"	0.25	1	1	36	158	19965	"HALLMARK_FATTY_ACID_METABOLISM"	"ADIPOR2"
"AmplificationPeak1"	0.25	1	1	36	158	19965	"HALLMARK_UV_RESPONSE_UP"	"FKBP4"
"AmplificationPeak1"	0.3	1	1	36	200	19965	"HALLMARK_MITOTIC_SPINDLE"	"BIN1"
"AmplificationPeak1"	0.3	1	1	36	200	19965	"HALLMARK_ADIPOGENESIS"	"ADIPOR2"
"AmplificationPeak1"	0.3	1	1	36	200	19965	"HALLMARK_ESTROGEN_RESPONSE_LATE"	"FKBP4"
"AmplificationPeak1"	0.3	1	1	36	200	19965	"HALLMARK_MYOGENESIS"	"BIN1"
"AmplificationPeak1"	0.3	1	1	36	200	19965	"HALLMARK_MTORC1_SIGNALING"	"ADIPOR2"
"AmplificationPeak1"	0.3	1	1	36	200	19965	"HALLMARK_OXIDATIVE_PHOSPHORYLATION"	"NDUFA9"
"AmplificationPeak1"	0.3	1	1	36	200	19965	"HALLMARK_GLYCOLYSIS"	"FKBP4"
"AmplificationPeak1"	0.3	1	1	36	200	19965	"HALLMARK_P53_PATHWAY"	"VWA5A"
"AmplificationPeak1"	0.3	1	1	36	200	19965	"HALLMARK_HEME_METABOLISM"	"ENDOD1"
"AmplificationPeak1"	0.3	1	1	36	200	19965	"HALLMARK_IL2_STAT5_SIGNALING"	"NOP2"
"AmplificationPeak1"	0.3	1	1	36	200	19965	"HALLMARK_KRAS_SIGNALING_UP"	"VWA5A"
"AmplificationPeak1"	1	1	0	36	200	19965	"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	""
"AmplificationPeak1"	1	1	0	36	200	19965	"HALLMARK_HYPOXIA"	""
"AmplificationPeak1"	1	1	0	36	74	19965	"HALLMARK_CHOLESTEROL_HOMEOSTASIS"	""
"AmplificationPeak1"	1	1	0	36	42	19965	"HALLMARK_WNT_BETA_CATENIN_SIGNALING"	""
"AmplificationPeak1"	1	1	0	36	54	19965	"HALLMARK_TGF_BETA_SIGNALING"	""
"AmplificationPeak1"	1	1	0	36	87	19965	"HALLMARK_IL6_JAK_STAT3_SIGNALING"	""
"AmplificationPeak1"	1	1	0	36	150	19965	"HALLMARK_DNA_REPAIR"	""
"AmplificationPeak1"	1	1	0	36	200	19965	"HALLMARK_G2M_CHECKPOINT"	""
"AmplificationPeak1"	1	1	0	36	161	19965	"HALLMARK_APOPTOSIS"	""
"AmplificationPeak1"	1	1	0	36	32	19965	"HALLMARK_NOTCH_SIGNALING"	""
"AmplificationPeak1"	1	1	0	36	101	19965	"HALLMARK_ANDROGEN_RESPONSE"	""
"AmplificationPeak1"	1	1	0	36	96	19965	"HALLMARK_PROTEIN_SECRETION"	""
"AmplificationPeak1"	1	1	0	36	97	19965	"HALLMARK_INTERFERON_ALPHA_RESPONSE"	""
"AmplificationPeak1"	1	1	0	36	200	19965	"HALLMARK_INTERFERON_GAMMA_RESPONSE"	""
"AmplificationPeak1"	1	1	0	36	200	19965	"HALLMARK_APICAL_JUNCTION"	""
"AmplificationPeak1"	1	1	0	36	36	19965	"HALLMARK_HEDGEHOG_SIGNALING"	""
"AmplificationPeak1"	1	1	0	36	200	19965	"HALLMARK_COMPLEMENT"	""
"AmplificationPeak1"	1	1	0	36	113	19965	"HALLMARK_UNFOLDED_PROTEIN_RESPONSE"	""
"AmplificationPeak1"	1	1	0	36	105	19965	"HALLMARK_PI3K_AKT_MTOR_SIGNALING"	""
"AmplificationPeak1"	1	1	0	36	200	19965	"HALLMARK_MYC_TARGETS_V1"	""
"AmplificationPeak1"	1	1	0	36	200	19965	"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	""
"AmplificationPeak1"	1	1	0	36	200	19965	"HALLMARK_INFLAMMATORY_RESPONSE"	""
"AmplificationPeak1"	1	1	0	36	200	19965	"HALLMARK_XENOBIOTIC_METABOLISM"	""
"AmplificationPeak1"	1	1	0	36	49	19965	"HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY"	""
"AmplificationPeak1"	1	1	0	36	144	19965	"HALLMARK_UV_RESPONSE_DN"	""
