"alt"	"cis"	"trans"	"yind"	"zind"	"taudiff"	"tau0"	"tau1"	"tauratio"	"Z"	"S"	"pvalue"	"fdr"
"cn1"	"cis1.1"	"t.m.cis1.1"	1	1	1.2319340028044	1.04174705543434	-0.19018694737006	1.18256538031755	6.28776351357002	0.195925626042659	1.61036013024502e-10	2.89864823444104e-09
"cn1"	"cis1.1"	"t.m.cis1.2"	1	2	-0.0757319356751511	1.0347199322721	1.11045186794725	-0.0731907575307403	-0.292287992090488	0.259100400031848	0.614966780459914	0.737960136551897
"cn1"	"cis1.1"	"t.m.cis1"	1	3	0.175188363101489	0.907571435150742	0.732383072049253	0.19302983359364	0.767054061304967	0.22839115512073	0.221524686787231	0.332287030180847
"cn1"	"cis1.1"	"t.d.1"	1	4	0.341463315493345	1.04854332195681	0.707080006463465	0.325654942760114	0.917089519839582	0.372333679653295	0.179547866175118	0.330843073757026
"cn1"	"cis1.1"	"t.d.1.1"	1	5	0.245924094000409	1.02596736047249	0.780043266472083	0.239699724840323	0.658389180790763	0.37352389920053	0.255144042867727	0.353276367047621
"cn1"	"cis1.1"	"t.d.1.2"	1	6	1.25857089548619	0.933880056410945	-0.324690839075248	1.34767938007274	3.03544606026432	0.414624694525654	0.00120090090207134	0.00540405405932104
"cn1"	"cis1.2"	"t.m.cis1.1"	2	1	0.258100461265855	1.04174705543434	0.783646594168481	0.247757322585611	1.26228828360273	0.204470297806459	0.103422535548292	0.232700704983657
"cn1"	"cis1.2"	"t.m.cis1.2"	2	2	-0.183526814149444	1.0347199322721	1.21824674642154	-0.177368588760483	-0.85868952810138	0.213728953414902	0.804744085275936	0.853553298165038
"cn1"	"cis1.2"	"t.m.cis1"	2	3	0.249468947448914	0.907571435150742	0.658102487701828	0.274875274591998	1.32775151572309	0.187888279165739	0.0921301044093514	0.232700704983657
"cn1"	"cis1.2"	"t.d.1"	2	4	0.542027076628311	1.04854332195681	0.5065162453285	0.516933411598836	1.78206163584941	0.304157311803616	0.0373695905514349	0.134530525985166
"cn1"	"cis1.2"	"t.d.1.1"	2	5	0.163381274608544	1.02596736047249	0.862586085863947	0.159246074391004	0.52723524853623	0.3098830646512	0.299015116822831	0.384448007343641
"cn1"	"cis1.2"	"t.d.1.2"	2	6	0.283428584392246	0.933880056410945	0.650451472018698	0.303495703165039	0.774391505781485	0.366001670054763	0.219349652628527	0.332287030180847
"cn1"	"cis1"	"t.m.cis1.1"	3	1	0.176960050624705	1.04174705543434	0.864787004809631	0.169868539298078	0.900971608714132	0.19641024080355	0.183801707642792	0.330843073757026
"cn1"	"cis1"	"t.m.cis1.2"	3	2	1.04032206584878	1.0347199322721	-0.0056021335766867	1.00541415449917	6.13904489958745	0.169459921350094	4.15095510648245e-10	3.7358595958342e-09
"cn1"	"cis1"	"t.m.cis1"	3	3	0.763124330815758	0.907571435150742	0.144447104334983	0.840842165431318	4.75384477974498	0.160527818255079	9.97921447909926e-07	5.98752868745955e-06
