"alt"	"cis"	"trans"	"yind"	"zind"	"taudiff"	"tau0"	"tau1"	"tauratio"	"Z"	"S"	"pvalue"	"fdr"
"cn1"	"cis1.2"	"t.d.1"	2	4	0.542027076628311	1.04854332195681	0.5065162453285	0.516933411598836	1.78206163584941	0.304157311803616	0.0373695905514349	0.134530525985166
"cn1"	"cis1.1"	"t.d.1.2"	1	6	1.25857089548619	0.933880056410945	-0.324690839075248	1.34767938007274	3.03544606026432	0.414624694525654	0.00120090090207134	0.00540405405932104
"cn1"	"cis1"	"t.m.cis1"	3	3	0.763124330815758	0.907571435150742	0.144447104334983	0.840842165431318	4.75384477974498	0.160527818255079	9.97921447909926e-07	5.98752868745955e-06
"cn1"	"cis1.1"	"t.m.cis1.1"	1	1	1.2319340028044	1.04174705543434	-0.19018694737006	1.18256538031755	6.28776351357002	0.195925626042659	1.61036013024502e-10	2.89864823444104e-09
"cn1"	"cis1"	"t.m.cis1.2"	3	2	1.04032206584878	1.0347199322721	-0.0056021335766867	1.00541415449917	6.13904489958745	0.169459921350094	4.15095510648245e-10	3.7358595958342e-09
"cn2"	"cis2.1"	"t.d.2.2"	2	8	0.491678495678616	1.07568302924192	0.584004533563306	0.457084924008815	1.75801703747762	0.279677890030047	0.0393723052160896	0.147646144560336
"cn2"	"cis2"	"t.m.cis2"	1	1	0.820971794339618	1.1270504652674	0.306078670927778	0.728425052506269	4.9956172413926	0.164338409984101	2.93239402200939e-07	1.25674029514688e-06
"cn2"	"cis2.1"	"t.m.cis2.1"	2	3	0.836528511616789	0.935253745628403	0.0987252340116141	0.894440161856524	5.77344134064808	0.144892528088436	3.88343265845891e-09	2.91257449384418e-08
"cn2"	"cis2.1"	"t.m.cis2.1.1"	2	6	1.05451667196489	0.893996068111892	-0.160520603852996	1.17955403785166	6.73786118109291	0.156506143956181	8.03675096178066e-12	1.2055126442671e-10
"cn2"	"cis2.1"	"t.m.cis2.1.2"	2	7	0.984462401118504	0.83637058728117	-0.148091813837334	1.17706482758886	5.50775166282275	0.178741247134218	1.81722810906225e-08	1.09033686543735e-07
"cn2"	"cis2.2"	"t.m.cis2.2"	3	2	0.899582396313379	0.972095156332019	0.0725127600186403	0.925405697635352	6.48317325352241	0.138756494873035	4.49066307110828e-11	4.49066307110828e-10
"cn2"	"cis2"	"t.m.cis2.3"	1	5	0.950741165063028	0.982532387980533	0.0317912229175053	0.967643587828338	5.11676004744157	0.185809214473211	1.55414319527359e-07	7.77071597636793e-07
"cn2"	"cis2"	"t.m.cis2.4"	1	4	1.2855678461953	1.12213365954799	-0.163434186647315	1.14564591771817	7.03250614544037	0.182803657701575	1.01428184281511e-12	3.04284552844534e-11
