"geneid"	"fold.change"	"adj.P.Val.all"	"t"	"high.class"	"mean1.unlog"	"mean0.unlog"	"sd0.unlog"	"sd1.unlog"	"cnid"	"direction"	"interaction_type"	"logFC"	"AveExpr"	"P.Value"	"adj.P.Val"	"B"	"mean0.log"	"mean1.log"	"sd0.log"	"sd1.log"	"n0"	"n1"
"t.m.cis1.1"	2.05871918449257	1.1135042841478e-09	8.25711156669642	"case"	130.970729592016	62.9366659216614	22.4039320361784	43.2100307422179	"cn1"	"UP"	"trans"	1.04174705543433	6.64571881440768	4.54491544550124e-11	2.22700856829561e-09	14.9623346738811	5.93733081671233	6.97907787214667	0.405919872884776	0.428075509469752	16	34
"t.m.cis1.2"	2.04871589402082	3.09516144412097e-09	7.9093535963722	"case"	137.377911879514	68.3802304212927	26.189158828023	37.3963719630984	"cn1"	"UP"	"trans"	1.03471993227209	6.7297402174083	1.62300334514478e-10	3.97635819560471e-09	13.7029101816783	6.02613066346327	7.06085059573537	0.521674404650904	0.394006729020112	16	34
"t.m.cis1"	1.8758850625909	3.74770638911288e-09	7.77314710075697	"case"	131.104871190645	70.8567024203732	21.8983420615932	30.5218514390953	"cn1"	"UP"	"trans"	0.907571435150738	6.71642738356893	2.67693313508063e-10	4.37232412063169e-09	13.20797752326	6.09927880766642	7.00685024281716	0.46957792177415	0.343830772548338	16	34
"t.d.1"	2.06844030475809	5.2213470692946e-06	5.63633746705232	"case"	15.9628731112052	7.66444062330908	5.86525192371332	7.64227343852522	"cn1"	"UP"	"trans"	1.04854332195681	3.6265622343167	6.92627672457447e-07	8.48468898760373e-06	5.46408285067199	2.91355277538607	3.96209609734288	0.72217423768553	0.588039697461068	16	34
"t.d.1.1"	2.03632432921366	7.51701143647335e-06	5.51485330467536	"case"	16.2109220844105	7.93831334313143	5.28784994474898	6.87663439699962	"cn1"	"UP"	"trans"	1.02596736047249	3.66623188299449	1.07385877663905e-06	1.05238160110627e-05	5.03464857323477	2.9685740778732	3.99454143834569	0.736680567405071	0.579827147803453	16	34
"t.d.1.2"	1.91040703767107	0.000518812368327863	4.25991452465917	"case"	16.023136363216	8.13085347332169	5.49551653799178	8.45443257633294	"cn1"	"UP"	"trans"	0.933880056410944	3.61854173714372	8.47040601351613e-05	0.00069174982443715	0.789372550447466	2.98350329878428	3.91738335519523	0.772642319607695	0.7383662068492	16	34
"t.m.cis2"	2.18411749027434	2.90114225635137e-11	9.60759365883786	"case"	137.211777215035	61.7026253796273	17.8179835369037	42.4215809786666	"cn2"	"UP"	"trans"	1.1270504652674	6.39195987077956	2.96034924117487e-13	1.45057112817568e-11	19.8674677268198	5.91859867536726	7.04564914063465	0.387546014172987	0.451965943009603	29	21
"t.m.cis2.2"	1.96168739139879	1.04385997411467e-10	9.05866622041656	"case"	131.883494713603	66.1181802186225	15.083260950899	36.4416359555349	"cn2"	"UP"	"trans"	0.972095156332018	6.4375467592758	2.13032647778503e-12	5.21929987057333e-11	17.9045775197331	6.02926679361635	7.00136194994837	0.357164778076172	0.403225180490413	29	21
"t.m.cis2.1"	1.91222693394975	1.8884559431123e-10	8.78398331931418	"case"	128.867434500202	66.0938237974873	15.7686121285038	35.965727991238	"cn2"	"UP"	"trans"	0.935253745628402	6.42266009368981	5.78098758095602e-12	9.44227971556151e-11	16.9119584380532	6.02985352052588	6.96510726615428	0.338231023454707	0.418530759875672	29	21
"t.m.cis2.4"	2.17668653473264	3.09516144412097e-09	7.8359102470739	"case"	140.803306263625	63.1502024136119	23.0209988330148	59.3895846184799	"cn2"	"UP"	"trans"	1.12213365954799	6.39297972966339	1.89499680252304e-10	2.32137108309073e-09	13.4448256233666	5.92168359265324	7.04381725220123	0.489242172002178	0.547560942403772	29	21
"t.m.cis2.3"	1.97593075271202	9.3266780232203e-09	7.4301039006946	"case"	130.979163624845	64.1873333696965	18.832605856027	50.3401242217907	"cn2"	"UP"	"trans"	0.982532387980531	6.37985711059674	8.56531655193701e-10	6.99500851741523e-09	11.9481879110071	5.96719350764492	6.94972589562545	0.425070230005364	0.532241566927254	29	21
"t.m.cis2.1.1"	1.85831628388218	9.3266780232203e-09	7.45701336357168	"case"	128.800592513785	67.3980075023717	17.4595539412463	42.8075050851238	"cn2"	"UP"	"trans"	0.893996068111892	6.42529727634548	7.74872977972525e-10	6.99500851741523e-09	12.0475408356412	6.04981892773849	6.94381499585038	0.374135159513163	0.488418235082434	29	21
"t.m.cis2.1.2"	1.78555254165461	2.1599115715085e-07	6.55834647125689	"case"	128.880749180681	72.71376069809	26.881857920185	35.7019182922706	"cn2"	"UP"	"trans"	0.836370587281171	6.47766608251411	2.20399139949847e-08	1.54279397964893e-07	8.7328053621924	6.12639043585601	6.96276102313718	0.467373066048299	0.436424620043411	29	21
"t.d.2.2"	2.10771971411501	4.28491294271604e-07	6.34820826980484	"case"	17.247154697736	7.6175929533871	3.7933210756302	7.78940668607562	"cn2"	"UP"	"trans"	1.07568302924192	3.43707673804016	4.80959616019147e-08	2.94587764811728e-07	7.96207771440599	2.98528986575855	4.06097289500048	0.599338918194437	0.632508812466689	29	21
"t.d.2"	2.11905358883693	1.89998267807365e-06	5.92134629391871	"case"	16.3693107389073	6.95860319158478	3.53584792856107	9.65995123898069	"cn2"	"UP"	"trans"	1.08342007254807	3.31634270859507	2.32650940172283e-07	1.26665511871576e-06	6.40806263369896	2.86130627812488	3.94472635067296	0.632133749960774	0.706540236501763	29	21
"t.d.2.1"	1.85989446177211	1.43414406220788e-05	5.30421528863181	"case"	14.8299698745052	7.43059107547638	3.44504077057448	7.17160843583621	"cn2"	"UP"	"trans"	0.895220759076405	3.3342653375717	2.19511846256308e-06	1.07560804665591e-05	4.2039943967478	2.95827261875961	3.85349337783601	0.599313683620024	0.626651247714942	29	21
