Unique Name	AmplificationPeak1	AmplificationPeak2	AmplificationPeak3	AmplificationPeak4	AmplificationPeak5	AmplificationPeak6	AmplificationPeak7	AmplificationPeak8	AmplificationPeak9	AmplificationPeak10	AmplificationPeak11	AmplificationPeak12	AmplificationPeak13	AmplificationPeak14	AmplificationPeak15	AmplificationPeak16	AmplificationPeak17	AmplificationPeak18	AmplificationPeak19	AmplificationPeak20	AmplificationPeak21	AmplificationPeak22	AmplificationPeak23	AmplificationPeak24	AmplificationPeak25	AmplificationPeak26
cytoband	1q23.3	1q31.2	2p16.1	3q21.3	3q29	4q31.3	4q31.3	5p15.33	6p21.32	6p21.2	6q15	7q11.22	7q22.1	7q36.3	8p23.3	9p13.2	11q23.1	11q25	12q15	13q31.3	16q23.1	16q24.3	17q25.3	18q21.33	19p12	19q13.42
q value	0.00018901	0.047437	1.2025e-30	0.18459	0.071973	0.041227	0.21379	0.0013319	0.032828	0.030144	0.18459	0.12852	0.0079451	0.039785	0.23444	0.13332	0.047437	0.089029	0.0096877	0.11046	0.089029	0.024945	0.22966	0.0040157	0.15825	0.0086159
residual q value	0.0003274	0.14628	1.2025e-30	0.20061	0.084251	0.044465	0.23884	0.0013319	0.061492	0.48479	0.18459	0.21895	0.0087726	0.047437	0.23444	0.13332	1	0.097412	0.0096877	0.11046	0.15825	0.041218	0.22966	0.0040157	0.15825	0.0086159
wide peak boundaries	chr1:158990929-163875065	chr1:188102143-203815310	chr2:57046050-65464442	chr3:130679454-130848181	chr3:194402067-199248630	chr4:151385176-151396507	chr4:153902421-153915365	chr5:936065-1366667	chr6:32467409-32963602	chr6:36665955-42302212	chr6:88237823-90146943	chr7:69973350-70043942	chr7:82385621-105476341	chr7:157607473-157640501	chr8:957709-982011	chr9:37115912-37360478	chr11:1-134452384	chr11:133853184-134224778	chr12:58272971-71531672	chr13:90529356-91786946	chr16:72899404-77204676	chr16:88159925-88190375	chr17:78224811-78241614	chr18:43068071-75962983	chr19:20845506-20882145	chr19:54824151-63558486
Expanded	yes	yes	yes	no	yes	no	no	yes	yes	no	no	no	yes	no	no	no	no	yes	yes	yes	no	no	no	yes	no	yes
genes in wide peak	SLAMF7	FAM5C	VRK2	IFT122	HRASLS	DCLK2	TIGD4	BRD9	BTNL2	SFRS3	SLC35A1	AUTS2	PCLO	PTPRN2	ERICH1	ZCCHC7	SCGB1C1	B3GAT1	SLC16A7	HSA-MIR-17	LOC440348	CPNE7	RAB40B	SMAD2	ZNF85	RRAS
	LY9	RGS18	FANCL	RHO	ATP13A5			TRIP13	HLA-DRA	CDKN1A	RARS2		SEMA3E				ODF3		FAM19A2	HSA-MIR-18A	LOC497190			ZBTB7C		SCAF1
	CD244	RGS21	BCL11A	H1FOO	ATP13A4			NKD2	HLA-DRB5	CPNE5	ORC3L		SEMA3A				BET1L		USP15	HSA-MIR-19A	LOC348174			KIAA0427		IRF3
	ITLN1	RGS1	PAPOLG	PLXND1	OPA1			SLC12A7	HLA-DRB1	PPIL1	C6ORF166		SEMA3D				RIC8A		MON2	HSA-MIR-20A	GLG1			SMAD7		BCL2L12
	ITLN2	RGS13	REL		HES1			SLC6A19	HLA-DQA1	C6ORF89	SPACA1		GRM3				SIRT3		C12ORF61	HSA-MIR-19B-1	RFWD3			DYM		PRMT1
	F11R	RGS2	PUS10		CPN2			SLC6A18	HLA-DQB1	PI16	CNR1		KIAA1324L				PSMD13		HSA-LET-7I	HSA-MIR-92A-1	MLKL			C18ORF32		LOC199800
	LOC100134860	UCHL5	PEX13		LRRC15			TERT	HLA-DQA2	MTCH1	RNGTT		DMTF1				NLRP6		PPM1H	GPC5	FA2H			RPL17		CPT1C
	USF1	TROVE2	KIAA1841		GP5				HLA-DOB	FGD2	PNRC1		C7ORF23				ATHL1		AVPR1A		WDR59			LOC642250		TSKS
	ARHGAP30	TROVE2	AHSA2		ATP13A3				TAP2	PIM1	SRRP35		CROT				IFITM5		DPY19L2		ZNRF1			LIPG		AP2A1
	PVRL4	GLRX2	USP34		TMEM44				PSMB8	C6ORF128	PM20D2		ABCB4				IFITM2		TMEM5		LDHD			ACAA2		FUZ
	KLHDC9	GLRX2	XPO1		LSG1				TAP1	TBC1D22B	GABRR1		ABCB1				IFITM1		SRGAP1		ZFP1			MYO5B		MED25
	PFDN2	CDC73	FLJ13305		FAM43A				PSMB9	RNF8	GABRR2		RUNDC3B				IFITM3		FLJ32549		CTRB2			CCDC11		PTOV1
	NIT1	B3GALT2	CCT4		C3ORF21					KIAA0082	UBE2J1		SLC25A40				B4GALNT4		C12ORF56		CTRB1			MBD1		PNKP
	DEDD	KCNT2	COMMD1		CENTB2					C6ORF129	RRAGD		DBF4				PKP3		XPOT		BCAR1			CXXC1		AKT1S1
	UFC1	CFH	B3GNT2		PPP1R2					MDGA1			ADAM22				SIGIRR		TBK1		CFDP1			C18ORF24		TBC1D17
	USP21	CFHR3	TMEM17		APOD					ZFAND3			SRI				TMEM16J		RASSF3		TMEM170			MAPK4		IL4I1
	PPOX	CFHR1	EHBP1		HSA-MIR-570					BTBD9			STEAP4				PTDSS2		HSA-MIR-548C		CHST6			MRO		NUP62
	B4GALT3	CFHR4	OTX1		MUC20					GLO1			ZNF804B				RNH1		GNS		CHST5			ME2		ATF5
	ADAMTS4	CFHR2	LOC51057		MUC4					DNAH8			MGC26647				HRAS		WIF1		FLJ22167			ELAC1		SIGLEC11
	NDUFS2	CFHR5	MDH1		TNK2					GLP1R			STEAP1				LRRC56		LEMD3		GABARAPL2			SMAD4		VRK3
	FCER1G	F13B	UGP2		TFRC					C6ORF64			STEAP2				C11ORF35		MSRB3		ADAT1			MEX3C		ZNF473
	APOA2	ASPM	VPS54		ZDHHC19					KCNK5			FLJ21062				RASSF7		HMGA2		KARS			DCC		C19ORF41
	TOMM40L	ZBTB41	PELI1		OSTALPHA					KCNK17			GTPBP10				HSA-MIR-210		C12ORF31		TERF2IP			MBD2		MYH14
	NR1I3	CRB1	HSPC159		PCYT1A					KCNK16			CLDN12				KIAA1542		TMBIM4		CNTNAP4			POLI		KCNC3
	PCP4L1	C1ORF218	AFTPH		TCTEX1D2					KIF6			PFTK1				IRF7		IRAK3		MON1B			STARD6		NAPSA
	MPZ	DENND1B	SERTAD2		TM4SF19					DAAM2			FZD1				MUPCDH		HELB		ADAMTS18			C18ORF54		NR1H2
	SDHC	C1ORF53	SLC1A4		UBXD7					MOCS1			MTERF				SCT		GRIP1		NUDT7			C18ORF26		POLD1
	LOC642502	LHX9	CEP68		RNF168					MOCS1			AKAP9				DRD4		CAND1		KIAA1576			RAB27B		SPIB
	C1ORF192	NEK7	RAB1A		C3ORF43					LRFN2			CYP51A1				DEAF1		DYRK2		CLEC3A			CCDC68		MYBPC2
	FCGR2A	ATP6V1G3	ACTR2		WDR53					UNC5CL			KRIT1				TMEM80		IFNG		WWOX			TCF4		FAM71E1
	HSPA6	PTPRC	SPRED2		FBXO45					BZRPL1			ANKIB1				EPS8L2		IL26					TXNL1		C19ORF63
	FCGR3A	HSA-MIR-181B-1			LRRC33					APOBEC2			GATAD1				TALDO1		IL22					WDR7		JOSD2
	FCGR2C	HSA-MIR-181A-1			C3ORF34					C6ORF130			PEX1				PDDC1		MDM1					ST8SIA3		LOC554235
	FCGR3B	NR5A2			PIGX					NFYA			DKFZP564O0523				CEND1		MDM1					ONECUT2		LRRC4B
	FCGR2B	FAM58B			PAK2					TREML1			FAM133B				SLC25A22		RAP1B					FECH		SYT3
	FCRLA	ZNF281			SENP5					TREM2			CDK6				LRDD		LOC643752					NARS		SHANK1
	FCRLB	KIF14			NCBP2					TREML2			SAMD9				RPLP2		NUP107					ATP8B1		CLEC11A
	DUSP12	DDX59			PIGZ					TREML4			SAMD9L				PNPLA2		SLC35E3					NEDD4L		GPR32
	ATF6	DDX59			MFI2					TREM1			LOC253012				EFCAB4A		MDM2					HSA-MIR-122		ACPT
	OLFML2B	CAMSAP1L1			DLG1					NCR2			LOC253012				CD151		CPM					ALPK2		C19ORF48
	NOS1AP	GPR25			BDH1					FOXP4			CCDC132				POLR2L		CPSF6					MALT1		KLK1
	HSA-MIR-556	C1ORF106			KIAA0226					MDFI			CALCR				TSPAN4		LYZ					ZNF532		KLK15
	C1ORF111	KIF21B			HSA-MIR-922					TFEB			HSA-MIR-653				CHID1		YEATS4					SEC11C		KLK3
	FLJ13137	CACNA1S			FYTTD1					PGC			HSA-MIR-489				AP2A2		FRS2					GRP		KLK2
	SH2D1B	TMEM9			LRCH3					FRS3			TFPI2				MUC6		CCT2					RAX		KLK4
	UHMK1	IGFN1			IQCG					PRICKLE4			GNGT1				MUC2		LRRC10					CPLX4		KLK5
	UAP1	PKP1			RPL35A					USP49			GNG11				MUC5AC		BEST3					LMAN1		KLK6
	DDR2	TNNT2			LMLN					MED20			BET1				MUC5B		RAB3IP					CCBE1		KLK7
	HSD17B7	LAD1								BYSL			COL1A2				TOLLIP		CNOT2					PMAIP1		KLK8
	C1ORF110	TNNI1								CCND3			CASD1				BRSK2		KCNMB4					MC4R		KLK9
	RGS4	PHLDA3								TAF8			SGCE				HCCA2		PTPRB					CDH20		KLK10
	RGS5	CSRP1								GUCA1A			PEG10				DUSP8		PTPRR					RNF152		KLK11
	NUF2	NAV1								GUCA1B			PPP1R9A				KRTAP5-1		TSPAN8					PIGN		KLK12
	PBX1	IPO9								MRPS10			PON1				KRTAP5-2		LGR5					KIAA1468		KLK13
	LMX1A	TMEM58											PON3				KRTAP5-3		CCDC131					TNFRSF11A		KLK14
	RXRG	LMOD1											PON2				KRTAP5-4		THAP2					ZCCHC2		ATPBD3
	LRRC52	TIMM17A											ASB4				KRTAP5-5		TMEM19					PHLPP		SIGLEC9
	MGST3	RNPEP											PDK4				KRTAP5-6		RAB21					BCL2		SIGLEC7
		ELF3											DYNC1I1				CTSD		TBC1D15					KDSR		CD33
		GPR37L1											SLC25A13				SYT8		TPH2					VPS4B		FLJ40235
		ARL8A											HSA-MIR-591				TNNI2		TRHDE					SERPINB5		LOC402665
		PTPN7											SHFM1				LSP1							SERPINB12		ETFB
		LGR6											DLX6				TNNT3							SERPINB13		CLDND2
		UBE2T											DLX5				MRPL23							SERPINB4		NKG7
		PPP1R12B											ACN9				HSA-MIR-675							SERPINB3		LIM2
		PPP1R12B											TAC1				IGF2							SERPINB11		SIGLEC10
		SYT2											ASNS				HSA-MIR-483							SERPINB7		SIGLEC8
		JARID1B											LOC4951				IGF2AS							SERPINB7		CEACAM18
		RABIF											LMTK2				INS-IGF2							SERPINB2		SIGLEC12
