Unique Name	DeletionPeak1	DeletionPeak2	DeletionPeak3	DeletionPeak4	DeletionPeak5	DeletionPeak6	DeletionPeak7	DeletionPeak8	DeletionPeak9	DeletionPeak10	DeletionPeak11	DeletionPeak12	DeletionPeak13	DeletionPeak14	DeletionPeak15	DeletionPeak16	DeletionPeak17	DeletionPeak18	DeletionPeak19	DeletionPeak20	DeletionPeak21	DeletionPeak22	DeletionPeak23	DeletionPeak24	DeletionPeak25	DeletionPeak26	DeletionPeak27	DeletionPeak28	DeletionPeak29	DeletionPeak30	DeletionPeak31	DeletionPeak32
cytoband	1p36.32	1p36.11	1p13.1	1q32.1	2p11.2	2q22.3	3p21.31	3p14.2	3q28	4q35.2	6p21.33	6q21	6q23.3	7q34	8p21.3	8q12.1	8q13.2	9p24.1	9p21.3	10q23.31	13q14.2	13q34	14q32.32	15q21.1	16q12.2	17p13.1	17q24.1	18q21.1	18q22.3	19p13.3	20p12.1	22q11.22
q value	3.0241e-11	0.00063096	2.578e-06	0.10471	0.019316	3.6187e-05	0.00023943	0.00038787	0.056033	0.050818	7.2349e-05	9.2184e-18	3.1969e-28	2.4102e-08	0.019716	0.0021872	0.11135	1.1759e-09	2.7767e-53	0.00030354	0.0015036	0.077704	0.10197	2.3932e-07	9.2011e-05	0.00051537	0.043986	0.0021874	0.029607	1.6481e-11	0.01064	0.0018581
residual q value	7.8728e-10	0.031884	0.00021185	0.10358	0.034949	9.5121e-05	0.0030146	0.0078524	0.054502	0.050252	7.7681e-05	9.6756e-10	2.1224e-20	2.4102e-08	0.019026	0.0035251	0.22155	0.0095383	2.7124e-51	0.00030354	0.0014228	0.078359	0.10358	2.3932e-07	9.2011e-05	0.00051537	0.043986	0.0095383	0.13035	1.6481e-11	0.01064	0.0018581
wide peak boundaries	chr1:1727217-8299184	chr1:26676993-29390832	chr1:116748698-116921589	chr1:204454195-204714072	chr2:84667667-85556882	chr2:143516868-148930572	chr3:46018049-53499663	chr3:59009803-61522370	chr3:188913412-193342795	chr4:187877250-189253303	chr6:30832409-32811086	chr6:64356123-170745841	chr6:64356123-170745841	chr7:141591834-142264966	chr8:3609468-31618640	chr8:59733842-61266730	chr8:69306391-70543698	chr9:324524-32372546	chr9:324524-32372546	chr10:89500209-91049139	chr13:44053735-57006356	chr13:110089194-110567201	chr14:102262123-102461450	chr15:39662243-43329604	chr16:31458378-63536798	chr17:193188-15421887	chr17:60198975-60564489	chr18:42949516-43808008	chr18:58794764-76117153	chr19:6321197-7063123	chr20:13922549-16199765	chr22:20620482-21734063
Expanded	yes	yes	no	no	yes	yes	yes	no	no	no	yes	yes	yes	no	no	no	no	yes	yes	yes	yes	no	no	yes	yes	yes	no	no	no	yes	yes	no
genes in wide peak	GNB1	RPS6KA1	ATP1A1	C1ORF186	LOC129293	ARHGAP15	XCR1	C3ORF67	BCL6	FAT	DDR1	PHF3	PHF3	TRYX3	CSMD1	NSMAF	DEPDC2	DOCK8	DOCK8	ATAD1	NUFIP1	FLJ10769	RCOR1	MGA	ZNF267	RPH3AL	LRRC37A3	IER3IP1	PHLPP	ALKBH7	MACROD2	PPM1F
	CALML6	ARID1A	CD58	CTSE	TMSB10	GTDC1	CCR1	FHIT	LPP	ZFP42	GTF2H4	EGFL11	EGFL11	PRSS1	MCPH1	TOX	C8ORF34	KANK1	KANK1	PTEN	KIAA1704	CARS2	TRAF3	HSA-MIR-626	LOC729355	LOC400566	GNA13	SMAD2	BCL2	PSPN	FLRT3	TOP3B
	TMEM52	PIGV	IGSF3	SRGAP2	KCMF1	GTDC1	CCR3	PTPRG	HSA-MIR-28	TRIML2	VARS2	BAI3	BAI3	PRSS2	ANGPT2	CA8	SULF1	DMRT1	DMRT1	C10ORF59	GTF2F2	ING1	AMN	MAPKBP1	TP53TG3	FAM101B	RGS9	ZBTB7C	KDSR	GTF2F1		VPREB1
	C1ORF222	ZDHHC18		IKBKE	TCF7L1	ZEB2	CCR2		TPRG1		SFTPG	LMBRD1	LMBRD1	EPHB6	AGPAT5			DMRT3	DMRT3	C10ORF59	KCTD4	ANKRD10		LOC100137047	LOC729355	VPS53			VPS4B	KHSRP		ZNF280B
	KIAA1751	SFN			TGOLN2	ACVR2A	CCR5		TP63		DPCR1	COL19A1	COL19A1		XKR5			DMRT2	DMRT2	LIPJ	TPT1	ARHGEF7		LOC100137047-PLA2G4B	TP53TG3	FAM57A			SERPINB5	SLC25A41		ZNF280A
