cytoband	9p21.3	6q23.3	19p13.3	1p36.32	6q21	7q34	15q21.1	6p21.33	16q12.2	2q22.3	1p13.1	10q23.31	17p13.1	13q14.2	22q11.22	3p21.31	8q12.1	3p14.2	9p24.1	18q21.1	20p12.1	8p21.3	1p36.11	2p11.2	17q24.1	4q35.2	3q28	13q34	1q32.1	14q32.32	18q22.3	8q13.2	
q value	2.7767e-53	3.1969e-28	1.6481e-11	3.0241e-11	9.2184e-18	2.4102e-08	2.3932e-07	7.2349e-05	9.2011e-05	3.6187e-05	2.578e-06	0.00030354	0.00051537	0.0015036	0.0018581	0.00023943	0.0021872	0.00038787	1.1759e-09	0.0021874	0.01064	0.019716	0.00063096	0.019316	0.043986	0.050818	0.056033	0.077704	0.10471	0.10197	0.029607	0.11135	
residual q value	2.7124e-51	2.1224e-20	1.6481e-11	7.8728e-10	9.6756e-10	2.4102e-08	2.3932e-07	7.7681e-05	9.2011e-05	9.5121e-05	0.00021185	0.00030354	0.00051537	0.0014228	0.0018581	0.0030146	0.0035251	0.0078524	0.0095383	0.0095383	0.01064	0.019026	0.031884	0.034949	0.043986	0.050252	0.054502	0.078359	0.10358	0.10358	0.13035	0.22155	
wide peak boundaries	chr9:21855498-21993135	chr6:137855780-138453762	chr19:6486499-6616413	chr1:3304457-3660063	chr6:105953976-107073779	chr7:141591834-142264966	chr15:42740896-42824208	chr6:31275478-31573008	chr16:52070535-52297443	chr2:144242313-148320775	chr1:116748698-116921589	chr10:90599821-90955806	chr17:7476186-7515136	chr13:46367970-56893713	chr22:20620482-21734063	chr3:47292670-47405688	chr8:59733842-61266730	chr3:59009803-61522370	chr9:4850981-5154033	chr18:42949516-43808008	chr20:14250876-15984135	chr8:3609468-31618640	chr1:26773226-27868724	chr2:84982858-85216929	chr17:60198975-60564489	chr4:187877250-189253303	chr3:188913412-193342795	chr13:110089194-110567201	chr1:204454195-204714072	chr14:102262123-102461450	chr18:58794764-76117153	chr8:69306391-70543698	
genes in wide peak	CDKN2A	TNFAIP3	CD70	hsa-mir-551a	PRDM1	PRSS1	B2M	HLA-B	RPGRIP1L	ZEB2	CD58	ACTA2	ATP1B2	hsa-mir-15a	hsa-mir-650	KLHL18	TOX	FHIT	JAK2	SMAD2	FLRT3	hsa-mir-320	FGR	TMSB10	GNA13	ZFP42	hsa-mir-944	ING1	CTSE	TRAF3	BCL2	C8orf34	
				MEGF6	ATG5	PRSS2		HLA-C	AKTIP	GTDC1		FAS		ATP7B	VPREB1						MACROD2	hsa-mir-383	SFN	KCMF1	LRRC37A3		hsa-mir-28	ANKRD10	SRGAP2		CDH7		
				TP73		TRYX3		MICA				STAMBPL1		RCBTB2	TOP3B							hsa-mir-598	GPR3				BCL6	CARS2			CYB5A		
				ARHGEF16				HCP5						MLNR	PRAME							hsa-mir-124a-1	SLC9A1				IL1RAP				KDSR		
				WDR8										KPNA3	GGTLC2							hsa-mir-597	ARID1A				LPP				GALR1		
				KIAA0495										NEK3	ZNF280A							NAT1	NR0B2				TP63				MBP		
				TPRG1L										PCDH8	ZNF280B							NAT2	FCN3				CLDN1				NFATC1		
														RB1								ADRA1A	MAP3K6				CLDN16				SERPINB2		
														SUCLA2								ANGPT2	WASF2				LEPREL1				SERPINB5		
														ITM2B								ASAH1	NUDC				TMEM207				SERPINB8		
														UTP14C								ATP6V1B2	WDTC1				CCDC50				SERPINB10		
														P2RY5								BLK	AHDC1				POP2				SERPINB13		
														TRIM13								BMP1	ATPBD1B				UTS2D				SERPINB3		
														OLFM4								POLR3D	PIGV				TPRG1				SERPINB4		
														SUGT1								BNIP3L	GPATCH3				OSTN				ZNF236		
														LECT1								CHRNA2	C1orf160								SERPINB7		
														FNDC3A								CLU	ZDHHC18								CTDP1		
														INTS6								CTSB	SYTL1								SOCS6		
														CKAP2								DEFA1	FAM46B								VPS4B		
														MED4								DEFA3	C1orf172								ZNF516		
														VPS36								DEFA4	LOC388610								TSHZ1		
														PHF11								DEFA5	CD164L2								CD226		
														RCBTB1								DEFA6									TXNL4A		
														NUDT15								DEFB1									ADNP2		
														THSD1								DEFB4									RTTN		
														CYSLTR2								DPYSL2									KCNG2		
														C13orf1								DUSP4									SALL3		
														RNASEH2B								EGR3									CDH19		
														DHRS12								EPB49									C18orf55		
														CDADC1								EPHX2									TXNDC10		
														CAB39L								EXTL3									ZNF407		
														CCDC70								PTK2B									CNDP2		
														SETDB2								FDFT1									CCDC102B		
														EBPL								FGL1									C18orf22		
														ARL11								GATA4									PQLC1		
														WDFY2								GFRA2									NETO1		
														FLJ40296								GNRH1									PARD6G		
														LOC144983								GSR									CNDP1		
														DLEU7								GTF2E2									SERPINB12		
														FAM124A								LOXL2									SERPINB11		
														KCNRG								LPL									DSEL		
														NEK5								MSR1									C18orf51		
														ALG11								MSRA									CBLN2		
														LOC647174								NEFM									FBXO15		
																						NEFL									DOK6		
																						NKX3-1									ZADH2		
																						PCM1									C18orf62		
																						PDGFRL									ATP9B		
																						PNOC											
																						PPP2CB											
																						PPP2R2A											
																						PPP3CC											
																						SFTPC											
																						SLC7A2											
																						SLC18A1											
																						STC1											
																						WRN											
																						FZD3											
																						TUSC3											
																						UBXD6											
																						TNKS											
																						ADAM7											
																						TNFRSF10D											
																						TNFRSF10C											
																						TNFRSF10B											
																						TNFRSF10A											
																						FGF17											
																						DOK2											
																						MTMR7											
																						MFHAS1											
																						ENTPD4											
																						PHYHIP											
																						SORBS3											
																						NPM2											
																						DLC1											
																						SPAG11B											
																						DCTN6											
																						PNMA2											
																						ADAM28											
																						RBPMS											
																						LZTS1											
																						XPO7											
																						TRIM35											
																						RHOBTB2											
																						KIF13B											
																						PSD3											
																						LEPROTL1											
																						SLC39A14											
																						FGF20											
																						ADAMDEC1											
																						CNOT7											
																						PURG											
																						ZDHHC2											
																						SLC25A37											
																						SCARA3											
																						TMEM66											
																						KCTD9											
																						PINX1											
																						PIWIL2											
																						ELP3											
																						INTS10											
																						CCDC25											
																						AGPAT5											
																						INTS9											
																						CSGALNACT1											
																						HR											
																						PBK											
																						ZNF395											
																						DEFB103A											
																						BIN3											
																						TEX15											
																						MTUS1											
																						C8orf79											
																						KIAA1967											
																						SH2D4A											
																						PDLIM2											
																						EBF2											
																						RAI16											
																						MTMR9											
																						HMBOX1											
																						MCPH1											
																						PPP1R3B											
																						NUDT18											
																						DOCK5											
																						REEP4											
																						STMN4											
																						SOX7											
																						C8orf13											
																						AMAC1L2											
																						FAM86B1											
																						THEX1											
																						LONRF1											
																						CHMP7											
																						RP1L1											
																						CLDN23											
																						VPS37A											
																						SGCZ											
																						DEFB104A											
																						PRAGMIN											
																						PEBP4											
																						CDCA2											
																						ESCO2											
																						FBXO16											
																						UNQ9391											
																						C8orf74											
																						LGI3											
																						DEFB105A											
																						DEFB106A											
																						DEFB107A											
																						DEFB130											
																						NEIL2											
																						XKR6											
																						EFHA2											
																						SCARA5											
																						DUB3											
																						XKR5											
																						C8orf80											
																						DEFB103B											
																						DEFB107B											
																						DEFB104B											
